frame_number,man/woman,emotion,year,movie_name
93,man,happy,2014,gunday
93,man,neutral,2014,gunday
122,man,sad,2014,gunday
98,woman,happy,2014,gunday
98,man,angry,2014,gunday
62,man,angry,2014,gunday
118,man,neutral,2014,gunday
118,man,neutral,2014,gunday
132,woman,sad,2014,gunday
88,woman,sad,2014,gunday
147,man,angry,2014,gunday
147,man,angry,2014,gunday
125,man,sad,2014,gunday
76,woman,neutral,2014,gunday
86,man,happy,2014,gunday
55,man,angry,2014,gunday
91,man,happy,2014,gunday
91,man,surprise,2014,gunday
70,man,happy,2014,gunday
70,man,sad,2014,gunday
70,man,neutral,2014,gunday
90,man,neutral,2014,gunday
90,man,neutral,2014,gunday
53,man,angry,2014,gunday
63,man,angry,2014,gunday
49,man,neutral,2014,gunday
49,man,sad,2014,gunday
69,man,happy,2014,gunday
42,man,angry,2014,gunday
54,man,sad,2014,gunday
138,man,neutral,2014,gunday
89,man,surprise,2014,gunday
89,man,angry,2014,gunday
135,man,angry,2014,gunday
56,man,angry,2014,gunday
92,woman,neutral,2014,gunday
129,man,neutral,2014,gunday
151,man,sad,2014,gunday
151,woman,sad,2014,gunday
151,man,sad,2014,gunday
83,woman,happy,2014,gunday
84,man,happy,2014,gunday
144,man,neutral,2014,gunday
146,man,neutral,2014,gunday
146,man,angry,2014,gunday
82,man,happy,2014,gunday
119,man,neutral,2014,gunday
119,man,neutral,2014,gunday
50,man,neutral,2014,gunday
50,man,angry,2014,gunday
123,man,neutral,2014,gunday
95,woman,sad,2014,gunday
112,man,angry,2014,gunday
75,man,neutral,2014,gunday
75,man,surprise,2014,gunday
139,man,neutral,2014,gunday
