frame_number,man/woman,emotion,year,movie_name
51,man,angry,2014,haider
51,man,sad,2014,haider
60,man,happy,2014,haider
44,man,angry,2014,haider
71,man,sad,2014,haider
108,man,sad,2014,haider
45,man,sad,2014,haider
55,man,happy,2014,haider
36,man,neutral,2014,haider
107,woman,sad,2014,haider
104,man,sad,2014,haider
52,woman,neutral,2014,haider
70,man,neutral,2014,haider
53,man,neutral,2014,haider
49,woman,sad,2014,haider
69,man,neutral,2014,haider
54,man,neutral,2014,haider
116,man,sad,2014,haider
56,man,happy,2014,haider
109,man,sad,2014,haider
46,man,sad,2014,haider
65,man,fear,2014,haider
81,man,sad,2014,haider
50,man,fear,2014,haider
127,man,neutral,2014,haider
47,woman,neutral,2014,haider
48,man,sad,2014,haider
95,man,sad,2014,haider
78,man,neutral,2014,haider
43,man,angry,2014,haider
57,man,happy,2014,haider
57,man,happy,2014,haider
124,man,fear,2014,haider
72,man,sad,2014,haider
79,man,sad,2014,haider
80,man,sad,2014,haider
