frame_number,man/woman,emotion,year,movie_name
85,woman,fear,2014,happy_new_year
98,man,neutral,2014,happy_new_year
98,man,neutral,2014,happy_new_year
98,man,neutral,2014,happy_new_year
118,man,surprise,2014,happy_new_year
173,woman,neutral,2014,happy_new_year
131,man,surprise,2014,happy_new_year
131,man,neutral,2014,happy_new_year
131,man,happy,2014,happy_new_year
76,man,fear,2014,happy_new_year
182,man,fear,2014,happy_new_year
86,woman,angry,2014,happy_new_year
59,man,fear,2014,happy_new_year
162,man,neutral,2014,happy_new_year
52,man,neutral,2014,happy_new_year
68,man,neutral,2014,happy_new_year
53,man,sad,2014,happy_new_year
165,man,neutral,2014,happy_new_year
67,man,neutral,2014,happy_new_year
56,man,angry,2014,happy_new_year
33,woman,angry,2014,happy_new_year
164,woman,neutral,2014,happy_new_year
144,man,neutral,2014,happy_new_year
181,man,fear,2014,happy_new_year
77,man,angry,2014,happy_new_year
87,woman,happy,2014,happy_new_year
82,woman,fear,2014,happy_new_year
65,man,neutral,2014,happy_new_year
81,man,happy,2014,happy_new_year
100,woman,neutral,2014,happy_new_year
100,man,sad,2014,happy_new_year
100,man,neutral,2014,happy_new_year
32,woman,angry,2014,happy_new_year
48,man,angry,2014,happy_new_year
101,man,fear,2014,happy_new_year
101,man,neutral,2014,happy_new_year
99,woman,neutral,2014,happy_new_year
99,man,neutral,2014,happy_new_year
78,man,neutral,2014,happy_new_year
97,man,happy,2014,happy_new_year
97,man,angry,2014,happy_new_year
97,man,neutral,2014,happy_new_year
22,man,neutral,2014,happy_new_year
174,man,sad,2014,happy_new_year
57,man,angry,2014,happy_new_year
64,man,neutral,2014,happy_new_year
130,man,angry,2014,happy_new_year
130,man,neutral,2014,happy_new_year
79,man,angry,2014,happy_new_year
80,man,angry,2014,happy_new_year
