frame_number,man/woman,emotion,year,movie_name
122,man,sad,2014,heartless
28,woman,sad,2014,heartless
111,man,angry,2014,heartless
61,man,sad,2014,heartless
88,man,sad,2014,heartless
15,man,neutral,2014,heartless
108,man,neutral,2014,heartless
35,man,sad,2014,heartless
36,man,neutral,2014,heartless
121,man,sad,2014,heartless
38,man,neutral,2014,heartless
26,woman,neutral,2014,heartless
49,woman,happy,2014,heartless
103,man,angry,2014,heartless
102,man,fear,2014,heartless
24,man,angry,2014,heartless
16,man,neutral,2014,heartless
0,man,neutral,2014,heartless
113,man,fear,2014,heartless
9,man,fear,2014,heartless
32,man,sad,2014,heartless
101,woman,sad,2014,heartless
105,woman,happy,2014,heartless
57,man,neutral,2014,heartless
25,man,neutral,2014,heartless
31,woman,happy,2014,heartless
