frame_number,man/woman,emotion,year,movie_name
14,woman,neutral,2014,honour_killing
51,man,sad,2014,honour_killing
51,woman,sad,2014,honour_killing
60,man,fear,2014,honour_killing
44,man,fear,2014,honour_killing
96,woman,fear,2014,honour_killing
96,woman,neutral,2014,honour_killing
15,woman,neutral,2014,honour_killing
15,man,angry,2014,honour_killing
15,woman,angry,2014,honour_killing
15,woman,neutral,2014,honour_killing
19,woman,angry,2014,honour_killing
120,woman,angry,2014,honour_killing
108,man,sad,2014,honour_killing
45,man,angry,2014,honour_killing
52,man,sad,2014,honour_killing
52,woman,sad,2014,honour_killing
53,man,sad,2014,honour_killing
53,woman,sad,2014,honour_killing
49,man,neutral,2014,honour_killing
49,woman,angry,2014,honour_killing
42,woman,happy,2014,honour_killing
54,man,sad,2014,honour_killing
54,man,sad,2014,honour_killing
102,man,sad,2014,honour_killing
13,woman,neutral,2014,honour_killing
82,man,sad,2014,honour_killing
24,man,happy,2014,honour_killing
16,woman,neutral,2014,honour_killing
16,man,angry,2014,honour_killing
16,man,sad,2014,honour_killing
16,woman,neutral,2014,honour_killing
17,woman,sad,2014,honour_killing
17,man,sad,2014,honour_killing
17,woman,sad,2014,honour_killing
81,man,sad,2014,honour_killing
50,man,sad,2014,honour_killing
50,woman,fear,2014,honour_killing
113,man,sad,2014,honour_killing
101,man,sad,2014,honour_killing
78,man,sad,2014,honour_killing
43,man,fear,2014,honour_killing
6,man,happy,2014,honour_killing
73,woman,neutral,2014,honour_killing
73,woman,happy,2014,honour_killing
73,woman,neutral,2014,honour_killing
79,man,sad,2014,honour_killing
75,woman,happy,2014,honour_killing
18,man,fear,2014,honour_killing
18,man,neutral,2014,honour_killing
80,man,sad,2014,honour_killing
