frame_number,man/woman,emotion,year,movie_name
94,man,angry,2014,jai_ho
61,man,angry,2014,jai_ho
96,man,angry,2014,jai_ho
55,man,angry,2014,jai_ho
35,woman,neutral,2014,jai_ho
103,man,neutral,2014,jai_ho
40,woman,angry,2014,jai_ho
56,man,angry,2014,jai_ho
33,man,neutral,2014,jai_ho
102,man,angry,2014,jai_ho
29,woman,fear,2014,jai_ho
27,woman,sad,2014,jai_ho
41,woman,angry,2014,jai_ho
39,woman,angry,2014,jai_ho
32,man,neutral,2014,jai_ho
101,man,angry,2014,jai_ho
34,man,neutral,2014,jai_ho
64,man,angry,2014,jai_ho
31,man,neutral,2014,jai_ho
