frame_number,man/woman,emotion,year,movie_name
93,woman,angry,2014,karle_pyaar_karle
93,man,sad,2014,karle_pyaar_karle
122,woman,angry,2014,karle_pyaar_karle
58,man,neutral,2014,karle_pyaar_karle
61,woman,happy,2014,karle_pyaar_karle
96,man,neutral,2014,karle_pyaar_karle
88,man,angry,2014,karle_pyaar_karle
20,man,neutral,2014,karle_pyaar_karle
19,man,neutral,2014,karle_pyaar_karle
76,woman,neutral,2014,karle_pyaar_karle
35,man,happy,2014,karle_pyaar_karle
36,man,surprise,2014,karle_pyaar_karle
70,man,neutral,2014,karle_pyaar_karle
53,man,neutral,2014,karle_pyaar_karle
69,man,angry,2014,karle_pyaar_karle
103,man,happy,2014,karle_pyaar_karle
74,man,fear,2014,karle_pyaar_karle
29,woman,happy,2014,karle_pyaar_karle
37,man,happy,2014,karle_pyaar_karle
83,man,neutral,2014,karle_pyaar_karle
87,man,happy,2014,karle_pyaar_karle
82,man,neutral,2014,karle_pyaar_karle
113,man,surprise,2014,karle_pyaar_karle
47,man,angry,2014,karle_pyaar_karle
126,man,sad,2014,karle_pyaar_karle
99,man,neutral,2014,karle_pyaar_karle
34,woman,happy,2014,karle_pyaar_karle
114,woman,sad,2014,karle_pyaar_karle
79,woman,neutral,2014,karle_pyaar_karle
23,woman,neutral,2014,karle_pyaar_karle
