frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2014,khwaabb
28,man,neutral,2014,khwaabb
94,man,sad,2014,khwaabb
88,man,sad,2014,khwaabb
20,man,sad,2014,khwaabb
19,woman,neutral,2014,khwaabb
86,man,sad,2014,khwaabb
35,man,sad,2014,khwaabb
26,woman,happy,2014,khwaabb
26,woman,neutral,2014,khwaabb
67,man,happy,2014,khwaabb
42,woman,surprise,2014,khwaabb
109,man,happy,2014,khwaabb
74,man,sad,2014,khwaabb
66,woman,fear,2014,khwaabb
24,man,neutral,2014,khwaabb
41,man,surprise,2014,khwaabb
115,man,sad,2014,khwaabb
34,man,sad,2014,khwaabb
43,man,surprise,2014,khwaabb
21,man,neutral,2014,khwaabb
22,woman,sad,2014,khwaabb
79,man,happy,2014,khwaabb
79,man,angry,2014,khwaabb
23,man,neutral,2014,khwaabb
31,woman,sad,2014,khwaabb
