frame_number,man/woman,emotion,year,movie_name
98,man,sad,2014,koyelaanchal
61,woman,neutral,2014,koyelaanchal
88,man,neutral,2014,koyelaanchal
86,man,neutral,2014,koyelaanchal
59,man,sad,2014,koyelaanchal
107,man,neutral,2014,koyelaanchal
138,man,neutral,2014,koyelaanchal
138,man,neutral,2014,koyelaanchal
138,man,neutral,2014,koyelaanchal
135,man,neutral,2014,koyelaanchal
135,man,neutral,2014,koyelaanchal
135,man,neutral,2014,koyelaanchal
110,man,fear,2014,koyelaanchal
66,man,sad,2014,koyelaanchal
136,man,neutral,2014,koyelaanchal
136,man,neutral,2014,koyelaanchal
136,man,neutral,2014,koyelaanchal
50,man,happy,2014,koyelaanchal
137,man,neutral,2014,koyelaanchal
137,man,neutral,2014,koyelaanchal
137,man,neutral,2014,koyelaanchal
117,woman,happy,2014,koyelaanchal
72,man,fear,2014,koyelaanchal
