frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2014,life_is_beautiful!
58,woman,happy,2014,life_is_beautiful!
88,man,sad,2014,life_is_beautiful!
19,woman,happy,2014,life_is_beautiful!
45,woman,neutral,2014,life_is_beautiful!
45,woman,happy,2014,life_is_beautiful!
55,woman,sad,2014,life_is_beautiful!
35,woman,fear,2014,life_is_beautiful!
92,woman,sad,2014,life_is_beautiful!
24,man,happy,2014,life_is_beautiful!
10,man,surprise,2014,life_is_beautiful!
10,man,happy,2014,life_is_beautiful!
81,man,fear,2014,life_is_beautiful!
78,man,sad,2014,life_is_beautiful!
25,woman,happy,2014,life_is_beautiful!
80,man,surprise,2014,life_is_beautiful!
