frame_number,man/woman,emotion,year,movie_name
28,man,surprise,2014,machhli_jal_ki_rani_hai
61,man,angry,2014,machhli_jal_ki_rani_hai
44,man,happy,2014,machhli_jal_ki_rani_hai
30,woman,fear,2014,machhli_jal_ki_rani_hai
45,man,fear,2014,machhli_jal_ki_rani_hai
55,man,angry,2014,machhli_jal_ki_rani_hai
55,man,neutral,2014,machhli_jal_ki_rani_hai
54,man,neutral,2014,machhli_jal_ki_rani_hai
54,man,neutral,2014,machhli_jal_ki_rani_hai
56,man,neutral,2014,machhli_jal_ki_rani_hai
46,man,angry,2014,machhli_jal_ki_rani_hai
50,man,neutral,2014,machhli_jal_ki_rani_hai
47,man,angry,2014,machhli_jal_ki_rani_hai
6,man,fear,2014,machhli_jal_ki_rani_hai
57,man,neutral,2014,machhli_jal_ki_rani_hai
57,man,surprise,2014,machhli_jal_ki_rani_hai
5,man,fear,2014,machhli_jal_ki_rani_hai
