frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2014,main_aur_mr
62,man,happy,2014,main_aur_mr
94,man,neutral,2014,main_aur_mr
30,woman,sad,2014,main_aur_mr
76,man,surprise,2014,main_aur_mr
55,woman,happy,2014,main_aur_mr
91,man,sad,2014,main_aur_mr
104,man,angry,2014,main_aur_mr
104,woman,happy,2014,main_aur_mr
52,man,sad,2014,main_aur_mr
90,woman,sad,2014,main_aur_mr
53,man,sad,2014,main_aur_mr
63,man,neutral,2014,main_aur_mr
42,woman,surprise,2014,main_aur_mr
54,woman,sad,2014,main_aur_mr
40,man,fear,2014,main_aur_mr
56,woman,fear,2014,main_aur_mr
33,man,happy,2014,main_aur_mr
92,man,neutral,2014,main_aur_mr
24,woman,happy,2014,main_aur_mr
41,woman,angry,2014,main_aur_mr
78,man,neutral,2014,main_aur_mr
43,woman,fear,2014,main_aur_mr
73,man,sad,2014,main_aur_mr
23,woman,sad,2014,main_aur_mr
31,woman,happy,2014,main_aur_mr
