frame_number,man/woman,emotion,year,movie_name
98,woman,sad,2014,mardaani
118,man,angry,2014,mardaani
118,man,sad,2014,mardaani
132,man,neutral,2014,mardaani
131,man,neutral,2014,mardaani
128,woman,neutral,2014,mardaani
19,man,angry,2014,mardaani
120,woman,fear,2014,mardaani
120,woman,neutral,2014,mardaani
120,woman,fear,2014,mardaani
86,man,happy,2014,mardaani
36,man,surprise,2014,mardaani
121,woman,angry,2014,mardaani
121,man,neutral,2014,mardaani
70,man,neutral,2014,mardaani
90,man,neutral,2014,mardaani
42,man,neutral,2014,mardaani
89,woman,neutral,2014,mardaani
56,man,neutral,2014,mardaani
33,man,neutral,2014,mardaani
74,man,neutral,2014,mardaani
74,man,angry,2014,mardaani
129,man,neutral,2014,mardaani
82,woman,fear,2014,mardaani
119,man,neutral,2014,mardaani
50,man,fear,2014,mardaani
113,woman,fear,2014,mardaani
99,woman,sad,2014,mardaani
43,man,neutral,2014,mardaani
57,man,neutral,2014,mardaani
130,man,neutral,2014,mardaani
112,man,neutral,2014,mardaani
72,woman,sad,2014,mardaani
