frame_number,man/woman,emotion,year,movie_name
93,man,happy,2014,meine_ek_ladki_chaahiye
93,woman,angry,2014,meine_ek_ladki_chaahiye
93,man,angry,2014,meine_ek_ladki_chaahiye
60,woman,sad,2014,meine_ek_ladki_chaahiye
44,woman,happy,2014,meine_ek_ladki_chaahiye
147,man,fear,2014,meine_ek_ladki_chaahiye
147,man,sad,2014,meine_ek_ladki_chaahiye
15,man,happy,2014,meine_ek_ladki_chaahiye
120,man,angry,2014,meine_ek_ladki_chaahiye
149,woman,neutral,2014,meine_ek_ladki_chaahiye
149,man,neutral,2014,meine_ek_ladki_chaahiye
86,woman,sad,2014,meine_ek_ladki_chaahiye
45,man,neutral,2014,meine_ek_ladki_chaahiye
45,man,angry,2014,meine_ek_ladki_chaahiye
55,man,happy,2014,meine_ek_ladki_chaahiye
55,woman,neutral,2014,meine_ek_ladki_chaahiye
55,man,happy,2014,meine_ek_ladki_chaahiye
55,man,neutral,2014,meine_ek_ladki_chaahiye
156,man,neutral,2014,meine_ek_ladki_chaahiye
91,man,happy,2014,meine_ek_ladki_chaahiye
104,man,angry,2014,meine_ek_ladki_chaahiye
106,man,fear,2014,meine_ek_ladki_chaahiye
106,man,sad,2014,meine_ek_ladki_chaahiye
150,man,angry,2014,meine_ek_ladki_chaahiye
150,man,happy,2014,meine_ek_ladki_chaahiye
70,man,angry,2014,meine_ek_ladki_chaahiye
38,man,happy,2014,meine_ek_ladki_chaahiye
145,man,sad,2014,meine_ek_ladki_chaahiye
145,woman,sad,2014,meine_ek_ladki_chaahiye
145,man,sad,2014,meine_ek_ladki_chaahiye
67,man,sad,2014,meine_ek_ladki_chaahiye
42,woman,fear,2014,meine_ek_ladki_chaahiye
42,man,sad,2014,meine_ek_ladki_chaahiye
40,woman,neutral,2014,meine_ek_ladki_chaahiye
116,man,neutral,2014,meine_ek_ladki_chaahiye
116,woman,sad,2014,meine_ek_ladki_chaahiye
135,man,angry,2014,meine_ek_ladki_chaahiye
135,man,sad,2014,meine_ek_ladki_chaahiye
143,man,sad,2014,meine_ek_ladki_chaahiye
151,man,angry,2014,meine_ek_ladki_chaahiye
161,man,angry,2014,meine_ek_ladki_chaahiye
66,man,happy,2014,meine_ek_ladki_chaahiye
13,man,angry,2014,meine_ek_ladki_chaahiye
146,man,sad,2014,meine_ek_ladki_chaahiye
146,man,sad,2014,meine_ek_ladki_chaahiye
141,man,neutral,2014,meine_ek_ladki_chaahiye
141,man,sad,2014,meine_ek_ladki_chaahiye
46,man,sad,2014,meine_ek_ladki_chaahiye
16,man,happy,2014,meine_ek_ladki_chaahiye
17,woman,sad,2014,meine_ek_ladki_chaahiye
65,man,fear,2014,meine_ek_ladki_chaahiye
160,man,sad,2014,meine_ek_ladki_chaahiye
81,man,angry,2014,meine_ek_ladki_chaahiye
50,man,surprise,2014,meine_ek_ladki_chaahiye
157,man,neutral,2014,meine_ek_ladki_chaahiye
157,woman,angry,2014,meine_ek_ladki_chaahiye
157,man,neutral,2014,meine_ek_ladki_chaahiye
157,man,sad,2014,meine_ek_ladki_chaahiye
137,man,fear,2014,meine_ek_ladki_chaahiye
99,woman,disgust,2014,meine_ek_ladki_chaahiye
43,woman,fear,2014,meine_ek_ladki_chaahiye
22,man,sad,2014,meine_ek_ladki_chaahiye
57,man,angry,2014,meine_ek_ladki_chaahiye
124,man,surprise,2014,meine_ek_ladki_chaahiye
64,man,sad,2014,meine_ek_ladki_chaahiye
72,man,fear,2014,meine_ek_ladki_chaahiye
79,man,sad,2014,meine_ek_ladki_chaahiye
79,man,angry,2014,meine_ek_ladki_chaahiye
18,man,sad,2014,meine_ek_ladki_chaahiye
31,man,fear,2014,meine_ek_ladki_chaahiye
31,man,sad,2014,meine_ek_ladki_chaahiye
31,man,neutral,2014,meine_ek_ladki_chaahiye
