frame_number,man/woman,emotion,year,movie_name
93,woman,happy,2014,mumbai_delhi_mumbai
51,woman,happy,2014,mumbai_delhi_mumbai
98,man,angry,2014,mumbai_delhi_mumbai
62,woman,fear,2014,mumbai_delhi_mumbai
60,woman,neutral,2014,mumbai_delhi_mumbai
111,man,fear,2014,mumbai_delhi_mumbai
61,woman,sad,2014,mumbai_delhi_mumbai
96,woman,neutral,2014,mumbai_delhi_mumbai
88,man,fear,2014,mumbai_delhi_mumbai
20,man,happy,2014,mumbai_delhi_mumbai
20,woman,neutral,2014,mumbai_delhi_mumbai
71,man,happy,2014,mumbai_delhi_mumbai
76,woman,happy,2014,mumbai_delhi_mumbai
86,man,happy,2014,mumbai_delhi_mumbai
55,woman,happy,2014,mumbai_delhi_mumbai
52,man,neutral,2014,mumbai_delhi_mumbai
68,woman,angry,2014,mumbai_delhi_mumbai
70,man,sad,2014,mumbai_delhi_mumbai
38,man,happy,2014,mumbai_delhi_mumbai
26,woman,surprise,2014,mumbai_delhi_mumbai
53,man,happy,2014,mumbai_delhi_mumbai
8,man,disgust,2014,mumbai_delhi_mumbai
63,woman,happy,2014,mumbai_delhi_mumbai
49,woman,neutral,2014,mumbai_delhi_mumbai
69,woman,fear,2014,mumbai_delhi_mumbai
69,woman,surprise,2014,mumbai_delhi_mumbai
67,man,sad,2014,mumbai_delhi_mumbai
54,man,happy,2014,mumbai_delhi_mumbai
40,man,surprise,2014,mumbai_delhi_mumbai
56,woman,happy,2014,mumbai_delhi_mumbai
74,man,happy,2014,mumbai_delhi_mumbai
37,man,happy,2014,mumbai_delhi_mumbai
77,man,happy,2014,mumbai_delhi_mumbai
27,man,surprise,2014,mumbai_delhi_mumbai
87,man,fear,2014,mumbai_delhi_mumbai
82,woman,angry,2014,mumbai_delhi_mumbai
24,woman,happy,2014,mumbai_delhi_mumbai
24,woman,sad,2014,mumbai_delhi_mumbai
16,woman,neutral,2014,mumbai_delhi_mumbai
16,man,happy,2014,mumbai_delhi_mumbai
17,woman,neutral,2014,mumbai_delhi_mumbai
50,woman,happy,2014,mumbai_delhi_mumbai
113,man,sad,2014,mumbai_delhi_mumbai
9,woman,happy,2014,mumbai_delhi_mumbai
100,woman,surprise,2014,mumbai_delhi_mumbai
39,man,surprise,2014,mumbai_delhi_mumbai
47,woman,happy,2014,mumbai_delhi_mumbai
48,man,angry,2014,mumbai_delhi_mumbai
99,man,disgust,2014,mumbai_delhi_mumbai
78,woman,happy,2014,mumbai_delhi_mumbai
97,man,fear,2014,mumbai_delhi_mumbai
114,man,happy,2014,mumbai_delhi_mumbai
22,woman,happy,2014,mumbai_delhi_mumbai
22,man,happy,2014,mumbai_delhi_mumbai
6,woman,neutral,2014,mumbai_delhi_mumbai
73,woman,happy,2014,mumbai_delhi_mumbai
57,man,sad,2014,mumbai_delhi_mumbai
64,woman,happy,2014,mumbai_delhi_mumbai
112,man,sad,2014,mumbai_delhi_mumbai
72,man,angry,2014,mumbai_delhi_mumbai
79,man,happy,2014,mumbai_delhi_mumbai
23,woman,neutral,2014,mumbai_delhi_mumbai
23,man,sad,2014,mumbai_delhi_mumbai
75,woman,happy,2014,mumbai_delhi_mumbai
18,woman,neutral,2014,mumbai_delhi_mumbai
18,man,angry,2014,mumbai_delhi_mumbai
