frame_number,man/woman,emotion,year,movie_name
28,woman,happy,2014,queen
62,man,neutral,2014,queen
111,man,happy,2014,queen
58,woman,sad,2014,queen
147,woman,sad,2014,queen
20,woman,neutral,2014,queen
71,woman,fear,2014,queen
19,man,sad,2014,queen
76,man,fear,2014,queen
163,woman,happy,2014,queen
140,woman,happy,2014,queen
156,woman,happy,2014,queen
36,man,angry,2014,queen
36,man,angry,2014,queen
158,woman,happy,2014,queen
59,woman,surprise,2014,queen
59,woman,happy,2014,queen
59,man,happy,2014,queen
104,man,happy,2014,queen
162,woman,happy,2014,queen
70,woman,sad,2014,queen
38,woman,neutral,2014,queen
145,woman,happy,2014,queen
142,woman,happy,2014,queen
69,woman,sad,2014,queen
69,woman,neutral,2014,queen
67,man,happy,2014,queen
138,woman,happy,2014,queen
143,woman,happy,2014,queen
109,man,angry,2014,queen
74,woman,fear,2014,queen
29,woman,happy,2014,queen
161,woman,happy,2014,queen
66,man,neutral,2014,queen
144,woman,happy,2014,queen
146,woman,happy,2014,queen
87,man,happy,2014,queen
82,woman,fear,2014,queen
141,woman,happy,2014,queen
24,man,sad,2014,queen
160,woman,happy,2014,queen
148,woman,neutral,2014,queen
39,woman,neutral,2014,queen
32,man,happy,2014,queen
157,woman,happy,2014,queen
115,woman,happy,2014,queen
95,woman,surprise,2014,queen
159,woman,happy,2014,queen
105,woman,happy,2014,queen
21,woman,happy,2014,queen
112,man,happy,2014,queen
79,woman,angry,2014,queen
75,woman,neutral,2014,queen
139,woman,happy,2014,queen
18,woman,sad,2014,queen
31,woman,happy,2014,queen
