frame_number,man/woman,emotion,year,movie_name
122,man,fear,2014,ragini_mms_2
122,man,happy,2014,ragini_mms_2
122,woman,happy,2014,ragini_mms_2
14,woman,sad,2014,ragini_mms_2
118,man,disgust,2014,ragini_mms_2
111,man,fear,2014,ragini_mms_2
111,woman,sad,2014,ragini_mms_2
132,woman,neutral,2014,ragini_mms_2
4,woman,fear,2014,ragini_mms_2
11,woman,surprise,2014,ragini_mms_2
131,man,angry,2014,ragini_mms_2
3,woman,happy,2014,ragini_mms_2
128,woman,happy,2014,ragini_mms_2
128,woman,happy,2014,ragini_mms_2
128,man,happy,2014,ragini_mms_2
125,woman,sad,2014,ragini_mms_2
125,woman,happy,2014,ragini_mms_2
125,man,happy,2014,ragini_mms_2
120,man,sad,2014,ragini_mms_2
120,man,neutral,2014,ragini_mms_2
120,woman,happy,2014,ragini_mms_2
108,man,fear,2014,ragini_mms_2
108,woman,neutral,2014,ragini_mms_2
121,man,neutral,2014,ragini_mms_2
121,woman,fear,2014,ragini_mms_2
121,woman,happy,2014,ragini_mms_2
12,man,surprise,2014,ragini_mms_2
8,woman,fear,2014,ragini_mms_2
138,woman,happy,2014,ragini_mms_2
116,woman,fear,2014,ragini_mms_2
135,woman,sad,2014,ragini_mms_2
109,man,fear,2014,ragini_mms_2
109,woman,neutral,2014,ragini_mms_2
110,man,fear,2014,ragini_mms_2
110,woman,fear,2014,ragini_mms_2
129,woman,fear,2014,ragini_mms_2
83,woman,sad,2014,ragini_mms_2
13,woman,fear,2014,ragini_mms_2
7,woman,fear,2014,ragini_mms_2
133,woman,fear,2014,ragini_mms_2
136,woman,happy,2014,ragini_mms_2
82,woman,sad,2014,ragini_mms_2
10,woman,neutral,2014,ragini_mms_2
134,man,fear,2014,ragini_mms_2
119,woman,fear,2014,ragini_mms_2
113,man,fear,2014,ragini_mms_2
113,woman,neutral,2014,ragini_mms_2
123,man,neutral,2014,ragini_mms_2
123,woman,fear,2014,ragini_mms_2
123,woman,happy,2014,ragini_mms_2
9,woman,fear,2014,ragini_mms_2
127,woman,fear,2014,ragini_mms_2
127,woman,happy,2014,ragini_mms_2
127,man,happy,2014,ragini_mms_2
137,woman,sad,2014,ragini_mms_2
115,woman,fear,2014,ragini_mms_2
126,woman,sad,2014,ragini_mms_2
126,woman,happy,2014,ragini_mms_2
126,man,happy,2014,ragini_mms_2
117,woman,fear,2014,ragini_mms_2
114,man,fear,2014,ragini_mms_2
6,man,surprise,2014,ragini_mms_2
124,man,neutral,2014,ragini_mms_2
124,woman,fear,2014,ragini_mms_2
124,woman,happy,2014,ragini_mms_2
130,man,fear,2014,ragini_mms_2
5,woman,neutral,2014,ragini_mms_2
112,woman,fear,2014,ragini_mms_2
112,man,fear,2014,ragini_mms_2
