frame_number,man/woman,emotion,year,movie_name
28,man,neutral,2014,raja_natwarlal
118,man,angry,2014,raja_natwarlal
111,man,fear,2014,raja_natwarlal
58,man,sad,2014,raja_natwarlal
44,man,happy,2014,raja_natwarlal
96,man,fear,2014,raja_natwarlal
88,man,sad,2014,raja_natwarlal
120,man,neutral,2014,raja_natwarlal
108,man,neutral,2014,raja_natwarlal
55,man,fear,2014,raja_natwarlal
35,man,fear,2014,raja_natwarlal
36,man,angry,2014,raja_natwarlal
68,man,happy,2014,raja_natwarlal
70,man,angry,2014,raja_natwarlal
26,man,neutral,2014,raja_natwarlal
8,man,neutral,2014,raja_natwarlal
63,man,angry,2014,raja_natwarlal
69,man,neutral,2014,raja_natwarlal
54,man,angry,2014,raja_natwarlal
138,man,neutral,2014,raja_natwarlal
89,man,angry,2014,raja_natwarlal
33,man,neutral,2014,raja_natwarlal
109,man,fear,2014,raja_natwarlal
29,man,angry,2014,raja_natwarlal
37,man,sad,2014,raja_natwarlal
83,man,neutral,2014,raja_natwarlal
7,man,angry,2014,raja_natwarlal
136,man,sad,2014,raja_natwarlal
77,woman,surprise,2014,raja_natwarlal
24,man,sad,2014,raja_natwarlal
16,man,surprise,2014,raja_natwarlal
17,woman,angry,2014,raja_natwarlal
119,woman,sad,2014,raja_natwarlal
50,man,angry,2014,raja_natwarlal
137,man,neutral,2014,raja_natwarlal
115,man,neutral,2014,raja_natwarlal
95,man,fear,2014,raja_natwarlal
34,man,sad,2014,raja_natwarlal
75,man,fear,2014,raja_natwarlal
18,woman,neutral,2014,raja_natwarlal
80,man,neutral,2014,raja_natwarlal
