frame_number,man/woman,emotion,year,movie_name
62,man,happy,2014,sulemani_keeda
20,man,sad,2014,sulemani_keeda
20,man,sad,2014,sulemani_keeda
71,man,sad,2014,sulemani_keeda
19,man,sad,2014,sulemani_keeda
76,woman,sad,2014,sulemani_keeda
108,woman,angry,2014,sulemani_keeda
140,man,sad,2014,sulemani_keeda
35,man,neutral,2014,sulemani_keeda
106,man,happy,2014,sulemani_keeda
68,man,sad,2014,sulemani_keeda
70,woman,sad,2014,sulemani_keeda
145,man,sad,2014,sulemani_keeda
142,man,sad,2014,sulemani_keeda
63,man,angry,2014,sulemani_keeda
69,man,sad,2014,sulemani_keeda
103,man,sad,2014,sulemani_keeda
138,man,sad,2014,sulemani_keeda
33,man,neutral,2014,sulemani_keeda
143,man,sad,2014,sulemani_keeda
74,man,neutral,2014,sulemani_keeda
102,man,surprise,2014,sulemani_keeda
83,man,sad,2014,sulemani_keeda
84,man,sad,2014,sulemani_keeda
144,man,sad,2014,sulemani_keeda
77,woman,sad,2014,sulemani_keeda
146,man,neutral,2014,sulemani_keeda
82,man,sad,2014,sulemani_keeda
141,woman,happy,2014,sulemani_keeda
10,man,neutral,2014,sulemani_keeda
81,man,sad,2014,sulemani_keeda
113,man,angry,2014,sulemani_keeda
9,man,neutral,2014,sulemani_keeda
32,man,neutral,2014,sulemani_keeda
95,man,happy,2014,sulemani_keeda
95,man,angry,2014,sulemani_keeda
78,man,happy,2014,sulemani_keeda
97,woman,happy,2014,sulemani_keeda
34,man,neutral,2014,sulemani_keeda
105,man,happy,2014,sulemani_keeda
21,woman,sad,2014,sulemani_keeda
22,man,sad,2014,sulemani_keeda
73,man,angry,2014,sulemani_keeda
64,woman,sad,2014,sulemani_keeda
112,man,angry,2014,sulemani_keeda
72,man,angry,2014,sulemani_keeda
79,man,sad,2014,sulemani_keeda
23,man,sad,2014,sulemani_keeda
75,man,sad,2014,sulemani_keeda
139,man,sad,2014,sulemani_keeda
18,woman,sad,2014,sulemani_keeda
80,man,angry,2014,sulemani_keeda
