frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2014,super_nani
132,man,happy,2014,super_nani
94,man,neutral,2014,super_nani
44,woman,fear,2014,super_nani
88,man,sad,2014,super_nani
147,woman,angry,2014,super_nani
147,man,sad,2014,super_nani
154,woman,fear,2014,super_nani
20,woman,happy,2014,super_nani
15,woman,neutral,2014,super_nani
19,woman,happy,2014,super_nani
76,woman,fear,2014,super_nani
76,woman,neutral,2014,super_nani
163,woman,neutral,2014,super_nani
86,man,angry,2014,super_nani
45,man,angry,2014,super_nani
155,woman,neutral,2014,super_nani
156,man,sad,2014,super_nani
91,man,angry,2014,super_nani
35,man,neutral,2014,super_nani
36,woman,sad,2014,super_nani
158,woman,neutral,2014,super_nani
104,woman,neutral,2014,super_nani
162,woman,fear,2014,super_nani
121,man,fear,2014,super_nani
90,man,angry,2014,super_nani
26,woman,neutral,2014,super_nani
53,woman,fear,2014,super_nani
49,woman,sad,2014,super_nani
42,woman,neutral,2014,super_nani
103,woman,happy,2014,super_nani
54,woman,fear,2014,super_nani
89,man,angry,2014,super_nani
33,woman,sad,2014,super_nani
74,woman,happy,2014,super_nani
102,woman,neutral,2014,super_nani
37,man,sad,2014,super_nani
83,woman,happy,2014,super_nani
161,man,fear,2014,super_nani
66,woman,happy,2014,super_nani
84,woman,surprise,2014,super_nani
133,man,happy,2014,super_nani
77,woman,happy,2014,super_nani
77,woman,neutral,2014,super_nani
87,man,sad,2014,super_nani
82,woman,sad,2014,super_nani
24,woman,neutral,2014,super_nani
46,woman,sad,2014,super_nani
16,woman,neutral,2014,super_nani
17,woman,angry,2014,super_nani
41,woman,neutral,2014,super_nani
153,woman,neutral,2014,super_nani
160,woman,fear,2014,super_nani
81,woman,angry,2014,super_nani
123,woman,happy,2014,super_nani
148,woman,neutral,2014,super_nani
148,man,neutral,2014,super_nani
127,woman,surprise,2014,super_nani
157,man,fear,2014,super_nani
47,woman,neutral,2014,super_nani
48,man,angry,2014,super_nani
126,woman,surprise,2014,super_nani
95,man,neutral,2014,super_nani
159,man,fear,2014,super_nani
99,woman,sad,2014,super_nani
78,woman,angry,2014,super_nani
117,woman,surprise,2014,super_nani
34,man,neutral,2014,super_nani
43,man,angry,2014,super_nani
73,woman,angry,2014,super_nani
152,man,angry,2014,super_nani
79,woman,fear,2014,super_nani
23,woman,neutral,2014,super_nani
75,woman,neutral,2014,super_nani
25,woman,neutral,2014,super_nani
80,woman,fear,2014,super_nani
