frame_number,man/woman,emotion,year,movie_name
122,man,sad,2014,tamanchey
28,man,neutral,2014,tamanchey
51,man,sad,2014,tamanchey
62,woman,neutral,2014,tamanchey
60,man,neutral,2014,tamanchey
111,man,happy,2014,tamanchey
132,woman,angry,2014,tamanchey
132,man,sad,2014,tamanchey
58,woman,sad,2014,tamanchey
88,man,neutral,2014,tamanchey
71,man,sad,2014,tamanchey
76,man,angry,2014,tamanchey
108,man,happy,2014,tamanchey
45,man,angry,2014,tamanchey
55,man,neutral,2014,tamanchey
155,woman,neutral,2014,tamanchey
91,man,happy,2014,tamanchey
35,woman,sad,2014,tamanchey
36,woman,angry,2014,tamanchey
59,man,angry,2014,tamanchey
106,woman,neutral,2014,tamanchey
90,man,happy,2014,tamanchey
26,man,sad,2014,tamanchey
53,man,happy,2014,tamanchey
63,man,happy,2014,tamanchey
49,woman,sad,2014,tamanchey
69,woman,sad,2014,tamanchey
54,woman,neutral,2014,tamanchey
89,man,happy,2014,tamanchey
116,woman,happy,2014,tamanchey
56,man,fear,2014,tamanchey
33,woman,sad,2014,tamanchey
74,woman,happy,2014,tamanchey
37,woman,sad,2014,tamanchey
66,woman,neutral,2014,tamanchey
77,man,angry,2014,tamanchey
27,woman,sad,2014,tamanchey
87,woman,sad,2014,tamanchey
24,man,neutral,2014,tamanchey
46,man,neutral,2014,tamanchey
65,man,neutral,2014,tamanchey
113,man,happy,2014,tamanchey
123,man,angry,2014,tamanchey
32,woman,sad,2014,tamanchey
99,man,sad,2014,tamanchey
34,man,neutral,2014,tamanchey
105,man,sad,2014,tamanchey
73,woman,happy,2014,tamanchey
57,man,sad,2014,tamanchey
64,man,happy,2014,tamanchey
112,man,angry,2014,tamanchey
75,man,angry,2014,tamanchey
25,man,angry,2014,tamanchey
80,man,happy,2014,tamanchey
