frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2014,total_siyapaa
93,woman,surprise,2014,total_siyapaa
122,woman,sad,2014,total_siyapaa
62,man,happy,2014,total_siyapaa
62,woman,happy,2014,total_siyapaa
60,man,happy,2014,total_siyapaa
111,man,sad,2014,total_siyapaa
111,woman,fear,2014,total_siyapaa
94,man,neutral,2014,total_siyapaa
94,man,surprise,2014,total_siyapaa
58,man,happy,2014,total_siyapaa
58,woman,happy,2014,total_siyapaa
61,man,happy,2014,total_siyapaa
61,woman,happy,2014,total_siyapaa
173,woman,happy,2014,total_siyapaa
131,woman,sad,2014,total_siyapaa
96,man,sad,2014,total_siyapaa
88,man,neutral,2014,total_siyapaa
185,woman,surprise,2014,total_siyapaa
147,woman,fear,2014,total_siyapaa
154,man,neutral,2014,total_siyapaa
154,woman,neutral,2014,total_siyapaa
108,man,sad,2014,total_siyapaa
55,man,neutral,2014,total_siyapaa
91,man,neutral,2014,total_siyapaa
59,man,happy,2014,total_siyapaa
59,woman,sad,2014,total_siyapaa
104,woman,happy,2014,total_siyapaa
104,man,sad,2014,total_siyapaa
104,man,happy,2014,total_siyapaa
168,woman,sad,2014,total_siyapaa
106,woman,fear,2014,total_siyapaa
106,man,angry,2014,total_siyapaa
68,man,happy,2014,total_siyapaa
121,man,happy,2014,total_siyapaa
145,man,sad,2014,total_siyapaa
142,man,sad,2014,total_siyapaa
63,man,happy,2014,total_siyapaa
63,woman,happy,2014,total_siyapaa
67,man,happy,2014,total_siyapaa
54,man,happy,2014,total_siyapaa
138,man,neutral,2014,total_siyapaa
89,man,neutral,2014,total_siyapaa
116,woman,fear,2014,total_siyapaa
56,man,neutral,2014,total_siyapaa
143,woman,neutral,2014,total_siyapaa
109,man,sad,2014,total_siyapaa
74,woman,happy,2014,total_siyapaa
92,man,neutral,2014,total_siyapaa
92,man,happy,2014,total_siyapaa
102,woman,sad,2014,total_siyapaa
102,woman,fear,2014,total_siyapaa
110,man,sad,2014,total_siyapaa
151,woman,sad,2014,total_siyapaa
151,woman,neutral,2014,total_siyapaa
83,man,neutral,2014,total_siyapaa
161,woman,surprise,2014,total_siyapaa
161,woman,fear,2014,total_siyapaa
66,man,sad,2014,total_siyapaa
84,man,fear,2014,total_siyapaa
144,woman,fear,2014,total_siyapaa
77,woman,happy,2014,total_siyapaa
77,woman,sad,2014,total_siyapaa
146,man,sad,2014,total_siyapaa
172,man,angry,2014,total_siyapaa
82,man,neutral,2014,total_siyapaa
65,woman,sad,2014,total_siyapaa
166,man,sad,2014,total_siyapaa
153,man,neutral,2014,total_siyapaa
153,woman,happy,2014,total_siyapaa
81,man,neutral,2014,total_siyapaa
169,woman,surprise,2014,total_siyapaa
169,woman,fear,2014,total_siyapaa
113,woman,sad,2014,total_siyapaa
123,woman,surprise,2014,total_siyapaa
148,woman,sad,2014,total_siyapaa
137,man,sad,2014,total_siyapaa
115,woman,fear,2014,total_siyapaa
115,woman,neutral,2014,total_siyapaa
95,man,fear,2014,total_siyapaa
95,man,neutral,2014,total_siyapaa
101,woman,fear,2014,total_siyapaa
101,woman,neutral,2014,total_siyapaa
78,man,neutral,2014,total_siyapaa
105,woman,fear,2014,total_siyapaa
105,man,angry,2014,total_siyapaa
152,woman,neutral,2014,total_siyapaa
152,woman,happy,2014,total_siyapaa
189,man,sad,2014,total_siyapaa
57,man,sad,2014,total_siyapaa
57,woman,happy,2014,total_siyapaa
124,man,angry,2014,total_siyapaa
64,man,happy,2014,total_siyapaa
112,man,sad,2014,total_siyapaa
79,man,fear,2014,total_siyapaa
75,man,happy,2014,total_siyapaa
80,man,neutral,2014,total_siyapaa
