frame_number,man/woman,emotion,year,movie_name
51,man,happy,2014,ungli
51,man,sad,2014,ungli
51,man,happy,2014,ungli
44,man,neutral,2014,ungli
44,man,neutral,2014,ungli
71,man,disgust,2014,ungli
71,man,happy,2014,ungli
30,man,fear,2014,ungli
45,man,angry,2014,ungli
107,man,neutral,2014,ungli
106,man,neutral,2014,ungli
52,man,neutral,2014,ungli
52,man,happy,2014,ungli
52,woman,happy,2014,ungli
26,man,neutral,2014,ungli
49,man,sad,2014,ungli
33,woman,sad,2014,ungli
33,woman,angry,2014,ungli
74,man,angry,2014,ungli
29,man,angry,2014,ungli
50,woman,happy,2014,ungli
50,man,sad,2014,ungli
113,woman,sad,2014,ungli
48,man,neutral,2014,ungli
78,man,angry,2014,ungli
73,man,sad,2014,ungli
130,man,neutral,2014,ungli
72,man,angry,2014,ungli
72,man,sad,2014,ungli
75,man,angry,2014,ungli
