frame_number,man/woman,emotion,year,movie_name
93,man,angry,2014,wah_taj
85,man,sad,2014,wah_taj
28,man,happy,2014,wah_taj
51,man,neutral,2014,wah_taj
62,man,fear,2014,wah_taj
62,man,neutral,2014,wah_taj
62,man,sad,2014,wah_taj
118,man,fear,2014,wah_taj
132,man,sad,2014,wah_taj
94,man,angry,2014,wah_taj
131,man,neutral,2014,wah_taj
19,woman,surprise,2014,wah_taj
19,man,happy,2014,wah_taj
120,man,neutral,2014,wah_taj
108,man,sad,2014,wah_taj
35,woman,happy,2014,wah_taj
35,woman,neutral,2014,wah_taj
38,woman,happy,2014,wah_taj
38,man,happy,2014,wah_taj
26,woman,happy,2014,wah_taj
26,man,angry,2014,wah_taj
49,man,sad,2014,wah_taj
42,man,fear,2014,wah_taj
42,man,sad,2014,wah_taj
33,man,happy,2014,wah_taj
37,man,happy,2014,wah_taj
37,man,happy,2014,wah_taj
84,woman,sad,2014,wah_taj
82,man,sad,2014,wah_taj
24,woman,happy,2014,wah_taj
17,man,happy,2014,wah_taj
17,woman,neutral,2014,wah_taj
41,man,sad,2014,wah_taj
81,woman,happy,2014,wah_taj
119,man,happy,2014,wah_taj
50,man,sad,2014,wah_taj
47,man,fear,2014,wah_taj
117,man,fear,2014,wah_taj
97,man,happy,2014,wah_taj
34,man,happy,2014,wah_taj
105,woman,sad,2014,wah_taj
130,man,fear,2014,wah_taj
72,man,angry,2014,wah_taj
75,man,angry,2014,wah_taj
75,man,neutral,2014,wah_taj
18,man,surprise,2014,wah_taj
18,man,happy,2014,wah_taj
25,woman,happy,2014,wah_taj
25,man,angry,2014,wah_taj
