frame_number,man/woman,emotion,year,movie_name
94,woman,angry,2014,ya_rab
58,man,angry,2014,ya_rab
71,man,sad,2014,ya_rab
30,man,neutral,2014,ya_rab
35,man,angry,2014,ya_rab
59,man,angry,2014,ya_rab
70,man,angry,2014,ya_rab
70,man,surprise,2014,ya_rab
70,woman,sad,2014,ya_rab
8,man,angry,2014,ya_rab
69,man,angry,2014,ya_rab
69,man,angry,2014,ya_rab
69,man,angry,2014,ya_rab
42,man,angry,2014,ya_rab
54,woman,surprise,2014,ya_rab
40,woman,angry,2014,ya_rab
56,man,sad,2014,ya_rab
33,man,angry,2014,ya_rab
84,man,fear,2014,ya_rab
13,man,sad,2014,ya_rab
7,man,angry,2014,ya_rab
77,man,neutral,2014,ya_rab
77,woman,sad,2014,ya_rab
87,man,angry,2014,ya_rab
82,man,neutral,2014,ya_rab
16,man,angry,2014,ya_rab
17,man,angry,2014,ya_rab
41,man,angry,2014,ya_rab
32,man,angry,2014,ya_rab
78,woman,sad,2014,ya_rab
34,man,neutral,2014,ya_rab
22,man,sad,2014,ya_rab
57,man,sad,2014,ya_rab
72,man,angry,2014,ya_rab
23,man,surprise,2014,ya_rab
31,man,angry,2014,ya_rab
