frame_number,man/woman,emotion,year,movie_name
51,man,angry,2014,yeh_hai_bakrapur
98,woman,sad,2014,yeh_hai_bakrapur
125,man,neutral,2014,yeh_hai_bakrapur
90,man,neutral,2014,yeh_hai_bakrapur
26,man,happy,2014,yeh_hai_bakrapur
49,woman,sad,2014,yeh_hai_bakrapur
33,man,happy,2014,yeh_hai_bakrapur
74,woman,sad,2014,yeh_hai_bakrapur
29,woman,angry,2014,yeh_hai_bakrapur
41,man,angry,2014,yeh_hai_bakrapur
50,woman,happy,2014,yeh_hai_bakrapur
126,man,fear,2014,yeh_hai_bakrapur
95,man,angry,2014,yeh_hai_bakrapur
99,woman,happy,2014,yeh_hai_bakrapur
22,man,neutral,2014,yeh_hai_bakrapur
72,woman,fear,2014,yeh_hai_bakrapur
25,man,fear,2014,yeh_hai_bakrapur
80,woman,angry,2014,yeh_hai_bakrapur
80,man,angry,2014,yeh_hai_bakrapur
