frame_number,man/woman,emotion,year,movie_name
93,woman,angry,2014,zed_plus
14,man,sad,2014,zed_plus
62,man,neutral,2014,zed_plus
60,man,sad,2014,zed_plus
94,man,neutral,2014,zed_plus
58,woman,angry,2014,zed_plus
61,man,neutral,2014,zed_plus
147,man,sad,2014,zed_plus
15,man,angry,2014,zed_plus
108,man,angry,2014,zed_plus
45,man,sad,2014,zed_plus
59,woman,neutral,2014,zed_plus
107,man,sad,2014,zed_plus
107,man,sad,2014,zed_plus
52,man,sad,2014,zed_plus
70,man,neutral,2014,zed_plus
63,woman,neutral,2014,zed_plus
49,man,fear,2014,zed_plus
103,woman,sad,2014,zed_plus
54,man,neutral,2014,zed_plus
56,man,sad,2014,zed_plus
109,man,angry,2014,zed_plus
102,man,happy,2014,zed_plus
110,man,angry,2014,zed_plus
129,woman,sad,2014,zed_plus
83,man,sad,2014,zed_plus
66,man,neutral,2014,zed_plus
84,man,sad,2014,zed_plus
13,man,sad,2014,zed_plus
141,man,sad,2014,zed_plus
141,man,neutral,2014,zed_plus
141,man,neutral,2014,zed_plus
24,man,happy,2014,zed_plus
16,man,angry,2014,zed_plus
65,man,angry,2014,zed_plus
10,man,sad,2014,zed_plus
81,man,sad,2014,zed_plus
148,man,sad,2014,zed_plus
48,man,fear,2014,zed_plus
95,woman,sad,2014,zed_plus
105,woman,sad,2014,zed_plus
22,man,neutral,2014,zed_plus
57,man,neutral,2014,zed_plus
64,man,angry,2014,zed_plus
130,man,sad,2014,zed_plus
23,man,neutral,2014,zed_plus
25,man,neutral,2014,zed_plus
80,man,angry,2014,zed_plus
