frame_number,man/woman,emotion,year,movie_name
28,man,sad,2014,zid
62,woman,surprise,2014,zid
61,woman,fear,2014,zid
44,woman,happy,2014,zid
71,woman,happy,2014,zid
76,man,neutral,2014,zid
45,woman,neutral,2014,zid
36,man,sad,2014,zid
70,man,happy,2014,zid
90,woman,neutral,2014,zid
42,woman,sad,2014,zid
40,man,neutral,2014,zid
89,woman,neutral,2014,zid
84,woman,fear,2014,zid
16,man,happy,2014,zid
41,man,happy,2014,zid
43,man,happy,2014,zid
22,man,sad,2014,zid
79,woman,surprise,2014,zid
75,man,neutral,2014,zid
25,man,happy,2014,zid
