frame_number,man/woman,emotion,year,movie_name
28,woman,neutral,2015,all_is_well
28,woman,neutral,2015,all_is_well
51,man,happy,2015,all_is_well
51,man,neutral,2015,all_is_well
62,man,angry,2015,all_is_well
62,woman,neutral,2015,all_is_well
132,man,angry,2015,all_is_well
132,man,fear,2015,all_is_well
58,man,neutral,2015,all_is_well
11,man,sad,2015,all_is_well
131,woman,fear,2015,all_is_well
154,man,sad,2015,all_is_well
20,man,neutral,2015,all_is_well
19,man,neutral,2015,all_is_well
108,man,neutral,2015,all_is_well
108,woman,fear,2015,all_is_well
140,woman,fear,2015,all_is_well
55,man,neutral,2015,all_is_well
155,man,neutral,2015,all_is_well
155,man,neutral,2015,all_is_well
155,man,sad,2015,all_is_well
156,man,neutral,2015,all_is_well
156,man,neutral,2015,all_is_well
156,man,sad,2015,all_is_well
107,woman,angry,2015,all_is_well
107,woman,fear,2015,all_is_well
106,man,angry,2015,all_is_well
52,man,sad,2015,all_is_well
68,woman,fear,2015,all_is_well
38,man,neutral,2015,all_is_well
26,man,fear,2015,all_is_well
53,man,neutral,2015,all_is_well
8,woman,sad,2015,all_is_well
8,woman,angry,2015,all_is_well
63,man,sad,2015,all_is_well
63,woman,neutral,2015,all_is_well
63,man,angry,2015,all_is_well
42,man,happy,2015,all_is_well
54,man,neutral,2015,all_is_well
89,woman,neutral,2015,all_is_well
89,man,happy,2015,all_is_well
56,man,happy,2015,all_is_well
56,man,neutral,2015,all_is_well
109,man,sad,2015,all_is_well
74,man,happy,2015,all_is_well
74,woman,sad,2015,all_is_well
129,man,angry,2015,all_is_well
37,man,angry,2015,all_is_well
144,man,neutral,2015,all_is_well
144,man,fear,2015,all_is_well
77,man,neutral,2015,all_is_well
141,woman,surprise,2015,all_is_well
24,woman,sad,2015,all_is_well
65,woman,surprise,2015,all_is_well
65,woman,fear,2015,all_is_well
65,man,sad,2015,all_is_well
41,man,neutral,2015,all_is_well
113,man,neutral,2015,all_is_well
157,man,angry,2015,all_is_well
157,man,sad,2015,all_is_well
47,woman,neutral,2015,all_is_well
48,man,neutral,2015,all_is_well
95,man,neutral,2015,all_is_well
95,woman,neutral,2015,all_is_well
78,man,neutral,2015,all_is_well
117,woman,sad,2015,all_is_well
43,man,neutral,2015,all_is_well
57,man,happy,2015,all_is_well
57,woman,neutral,2015,all_is_well
79,man,neutral,2015,all_is_well
18,man,angry,2015,all_is_well
25,man,neutral,2015,all_is_well
31,woman,fear,2015,all_is_well
31,woman,fear,2015,all_is_well
