frame_number,man/woman,emotion,year,movie_name
93,man,sad,2015,alone
14,man,happy,2015,alone
14,woman,fear,2015,alone
62,woman,surprise,2015,alone
61,woman,neutral,2015,alone
131,man,fear,2015,alone
88,man,fear,2015,alone
71,woman,neutral,2015,alone
30,man,neutral,2015,alone
15,woman,fear,2015,alone
15,man,happy,2015,alone
45,man,angry,2015,alone
45,man,fear,2015,alone
55,woman,happy,2015,alone
104,woman,sad,2015,alone
70,man,happy,2015,alone
26,woman,neutral,2015,alone
54,woman,happy,2015,alone
40,man,happy,2015,alone
40,woman,happy,2015,alone
13,woman,happy,2015,alone
27,woman,surprise,2015,alone
87,woman,neutral,2015,alone
160,man,sad,2015,alone
47,man,fear,2015,alone
47,man,angry,2015,alone
48,man,angry,2015,alone
48,man,fear,2015,alone
64,man,neutral,2015,alone
