frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2015,bajrangi_bhaijaan
28,woman,happy,2015,bajrangi_bhaijaan
111,man,happy,2015,bajrangi_bhaijaan
111,man,angry,2015,bajrangi_bhaijaan
132,woman,sad,2015,bajrangi_bhaijaan
132,man,neutral,2015,bajrangi_bhaijaan
58,woman,sad,2015,bajrangi_bhaijaan
108,woman,angry,2015,bajrangi_bhaijaan
140,man,neutral,2015,bajrangi_bhaijaan
45,woman,happy,2015,bajrangi_bhaijaan
55,woman,happy,2015,bajrangi_bhaijaan
35,woman,fear,2015,bajrangi_bhaijaan
104,man,happy,2015,bajrangi_bhaijaan
106,man,happy,2015,bajrangi_bhaijaan
90,man,neutral,2015,bajrangi_bhaijaan
38,woman,surprise,2015,bajrangi_bhaijaan
142,man,neutral,2015,bajrangi_bhaijaan
67,woman,happy,2015,bajrangi_bhaijaan
54,man,fear,2015,bajrangi_bhaijaan
40,woman,happy,2015,bajrangi_bhaijaan
138,man,neutral,2015,bajrangi_bhaijaan
89,man,angry,2015,bajrangi_bhaijaan
56,man,angry,2015,bajrangi_bhaijaan
33,woman,angry,2015,bajrangi_bhaijaan
33,man,neutral,2015,bajrangi_bhaijaan
109,man,happy,2015,bajrangi_bhaijaan
74,man,fear,2015,bajrangi_bhaijaan
110,man,angry,2015,bajrangi_bhaijaan
37,woman,happy,2015,bajrangi_bhaijaan
133,man,neutral,2015,bajrangi_bhaijaan
133,woman,sad,2015,bajrangi_bhaijaan
133,woman,neutral,2015,bajrangi_bhaijaan
77,man,angry,2015,bajrangi_bhaijaan
141,man,neutral,2015,bajrangi_bhaijaan
65,man,angry,2015,bajrangi_bhaijaan
41,man,happy,2015,bajrangi_bhaijaan
41,woman,happy,2015,bajrangi_bhaijaan
50,woman,neutral,2015,bajrangi_bhaijaan
50,man,sad,2015,bajrangi_bhaijaan
39,woman,happy,2015,bajrangi_bhaijaan
32,woman,happy,2015,bajrangi_bhaijaan
127,man,angry,2015,bajrangi_bhaijaan
127,woman,happy,2015,bajrangi_bhaijaan
47,man,happy,2015,bajrangi_bhaijaan
126,man,angry,2015,bajrangi_bhaijaan
126,woman,happy,2015,bajrangi_bhaijaan
78,woman,neutral,2015,bajrangi_bhaijaan
34,woman,angry,2015,bajrangi_bhaijaan
105,man,happy,2015,bajrangi_bhaijaan
21,woman,angry,2015,bajrangi_bhaijaan
57,woman,fear,2015,bajrangi_bhaijaan
64,woman,neutral,2015,bajrangi_bhaijaan
79,woman,neutral,2015,bajrangi_bhaijaan
139,man,neutral,2015,bajrangi_bhaijaan
31,man,happy,2015,bajrangi_bhaijaan
