frame_number,man/woman,emotion,year,movie_name
93,woman,sad,2015,bezubaan_ishq
51,man,happy,2015,bezubaan_ishq
51,woman,sad,2015,bezubaan_ishq
62,woman,neutral,2015,bezubaan_ishq
118,woman,neutral,2015,bezubaan_ishq
58,woman,happy,2015,bezubaan_ishq
61,man,neutral,2015,bezubaan_ishq
44,man,happy,2015,bezubaan_ishq
30,man,neutral,2015,bezubaan_ishq
76,woman,sad,2015,bezubaan_ishq
107,woman,angry,2015,bezubaan_ishq
52,woman,happy,2015,bezubaan_ishq
68,man,sad,2015,bezubaan_ishq
90,woman,neutral,2015,bezubaan_ishq
26,man,neutral,2015,bezubaan_ishq
49,man,happy,2015,bezubaan_ishq
49,woman,happy,2015,bezubaan_ishq
67,man,sad,2015,bezubaan_ishq
40,woman,happy,2015,bezubaan_ishq
40,man,neutral,2015,bezubaan_ishq
89,woman,neutral,2015,bezubaan_ishq
56,woman,neutral,2015,bezubaan_ishq
33,man,neutral,2015,bezubaan_ishq
143,woman,sad,2015,bezubaan_ishq
29,man,angry,2015,bezubaan_ishq
27,man,neutral,2015,bezubaan_ishq
41,man,happy,2015,bezubaan_ishq
50,man,happy,2015,bezubaan_ishq
50,woman,happy,2015,bezubaan_ishq
100,woman,happy,2015,bezubaan_ishq
39,woman,happy,2015,bezubaan_ishq
32,man,neutral,2015,bezubaan_ishq
48,man,happy,2015,bezubaan_ishq
48,woman,happy,2015,bezubaan_ishq
101,woman,neutral,2015,bezubaan_ishq
34,man,neutral,2015,bezubaan_ishq
73,woman,angry,2015,bezubaan_ishq
112,man,neutral,2015,bezubaan_ishq
72,man,sad,2015,bezubaan_ishq
31,man,neutral,2015,bezubaan_ishq
