frame_number,man/woman,emotion,year,movie_name
94,woman,sad,2015,charlie_kay_chakkar_mein
58,man,sad,2015,charlie_kay_chakkar_mein
96,man,sad,2015,charlie_kay_chakkar_mein
71,man,fear,2015,charlie_kay_chakkar_mein
76,woman,sad,2015,charlie_kay_chakkar_mein
76,man,sad,2015,charlie_kay_chakkar_mein
76,man,sad,2015,charlie_kay_chakkar_mein
55,man,sad,2015,charlie_kay_chakkar_mein
49,man,sad,2015,charlie_kay_chakkar_mein
40,man,angry,2015,charlie_kay_chakkar_mein
56,man,sad,2015,charlie_kay_chakkar_mein
66,woman,angry,2015,charlie_kay_chakkar_mein
41,man,sad,2015,charlie_kay_chakkar_mein
113,man,angry,2015,charlie_kay_chakkar_mein
39,woman,angry,2015,charlie_kay_chakkar_mein
78,man,happy,2015,charlie_kay_chakkar_mein
97,woman,happy,2015,charlie_kay_chakkar_mein
73,woman,fear,2015,charlie_kay_chakkar_mein
57,man,neutral,2015,charlie_kay_chakkar_mein
