frame_number,man/woman,emotion,year,movie_name
93,man,sad,2015,dil_dhadakne_do
85,man,fear,2015,dil_dhadakne_do
28,man,sad,2015,dil_dhadakne_do
60,man,neutral,2015,dil_dhadakne_do
118,woman,neutral,2015,dil_dhadakne_do
58,man,angry,2015,dil_dhadakne_do
61,man,angry,2015,dil_dhadakne_do
131,man,sad,2015,dil_dhadakne_do
147,woman,fear,2015,dil_dhadakne_do
76,man,neutral,2015,dil_dhadakne_do
108,woman,angry,2015,dil_dhadakne_do
45,man,neutral,2015,dil_dhadakne_do
55,woman,happy,2015,dil_dhadakne_do
91,woman,happy,2015,dil_dhadakne_do
36,woman,happy,2015,dil_dhadakne_do
59,man,sad,2015,dil_dhadakne_do
150,woman,neutral,2015,dil_dhadakne_do
68,woman,neutral,2015,dil_dhadakne_do
90,man,happy,2015,dil_dhadakne_do
38,man,neutral,2015,dil_dhadakne_do
145,man,angry,2015,dil_dhadakne_do
69,woman,sad,2015,dil_dhadakne_do
42,man,happy,2015,dil_dhadakne_do
103,man,angry,2015,dil_dhadakne_do
138,man,happy,2015,dil_dhadakne_do
89,man,happy,2015,dil_dhadakne_do
116,man,disgust,2015,dil_dhadakne_do
33,woman,happy,2015,dil_dhadakne_do
74,man,sad,2015,dil_dhadakne_do
92,woman,sad,2015,dil_dhadakne_do
102,man,sad,2015,dil_dhadakne_do
29,man,angry,2015,dil_dhadakne_do
129,woman,sad,2015,dil_dhadakne_do
37,woman,neutral,2015,dil_dhadakne_do
83,woman,sad,2015,dil_dhadakne_do
84,woman,angry,2015,dil_dhadakne_do
133,man,angry,2015,dil_dhadakne_do
136,man,neutral,2015,dil_dhadakne_do
77,woman,sad,2015,dil_dhadakne_do
146,man,disgust,2015,dil_dhadakne_do
46,woman,happy,2015,dil_dhadakne_do
46,man,happy,2015,dil_dhadakne_do
134,woman,sad,2015,dil_dhadakne_do
148,man,fear,2015,dil_dhadakne_do
32,woman,happy,2015,dil_dhadakne_do
47,man,neutral,2015,dil_dhadakne_do
137,woman,neutral,2015,dil_dhadakne_do
48,woman,neutral,2015,dil_dhadakne_do
48,man,happy,2015,dil_dhadakne_do
115,woman,neutral,2015,dil_dhadakne_do
117,man,angry,2015,dil_dhadakne_do
34,woman,sad,2015,dil_dhadakne_do
130,man,sad,2015,dil_dhadakne_do
112,woman,neutral,2015,dil_dhadakne_do
25,woman,sad,2015,dil_dhadakne_do
