frame_number,man/woman,emotion,year,movie_name
93,man,happy,2015,dirty_politics
85,woman,surprise,2015,dirty_politics
28,man,angry,2015,dirty_politics
98,man,angry,2015,dirty_politics
118,man,angry,2015,dirty_politics
44,man,sad,2015,dirty_politics
11,woman,angry,2015,dirty_politics
96,man,angry,2015,dirty_politics
154,man,happy,2015,dirty_politics
154,man,neutral,2015,dirty_politics
154,man,neutral,2015,dirty_politics
154,man,sad,2015,dirty_politics
154,man,angry,2015,dirty_politics
154,woman,happy,2015,dirty_politics
154,man,angry,2015,dirty_politics
154,man,happy,2015,dirty_politics
154,man,fear,2015,dirty_politics
128,man,angry,2015,dirty_politics
71,man,angry,2015,dirty_politics
30,man,sad,2015,dirty_politics
76,woman,fear,2015,dirty_politics
120,man,sad,2015,dirty_politics
149,man,happy,2015,dirty_politics
149,man,neutral,2015,dirty_politics
149,man,neutral,2015,dirty_politics
149,man,sad,2015,dirty_politics
149,woman,happy,2015,dirty_politics
149,man,angry,2015,dirty_politics
149,man,happy,2015,dirty_politics
149,man,angry,2015,dirty_politics
149,man,fear,2015,dirty_politics
86,woman,neutral,2015,dirty_politics
155,man,happy,2015,dirty_politics
155,man,neutral,2015,dirty_politics
155,man,neutral,2015,dirty_politics
155,man,sad,2015,dirty_politics
155,woman,happy,2015,dirty_politics
155,man,angry,2015,dirty_politics
155,man,angry,2015,dirty_politics
155,man,happy,2015,dirty_politics
155,man,fear,2015,dirty_politics
156,man,happy,2015,dirty_politics
156,man,neutral,2015,dirty_politics
156,man,neutral,2015,dirty_politics
156,man,sad,2015,dirty_politics
156,woman,happy,2015,dirty_politics
156,man,angry,2015,dirty_politics
156,man,angry,2015,dirty_politics
156,man,happy,2015,dirty_politics
156,man,fear,2015,dirty_politics
35,man,neutral,2015,dirty_politics
35,woman,happy,2015,dirty_politics
35,man,fear,2015,dirty_politics
35,woman,surprise,2015,dirty_politics
36,man,happy,2015,dirty_politics
36,man,neutral,2015,dirty_politics
36,man,neutral,2015,dirty_politics
36,woman,neutral,2015,dirty_politics
158,man,neutral,2015,dirty_politics
158,man,happy,2015,dirty_politics
158,man,neutral,2015,dirty_politics
158,man,sad,2015,dirty_politics
158,woman,happy,2015,dirty_politics
158,man,angry,2015,dirty_politics
158,man,angry,2015,dirty_politics
158,man,happy,2015,dirty_politics
158,man,fear,2015,dirty_politics
59,woman,sad,2015,dirty_politics
107,man,surprise,2015,dirty_politics
104,man,sad,2015,dirty_politics
150,man,happy,2015,dirty_politics
150,man,neutral,2015,dirty_politics
150,man,neutral,2015,dirty_politics
150,woman,happy,2015,dirty_politics
150,man,sad,2015,dirty_politics
150,man,angry,2015,dirty_politics
150,man,angry,2015,dirty_politics
150,man,happy,2015,dirty_politics
150,man,fear,2015,dirty_politics
68,woman,fear,2015,dirty_politics
90,woman,neutral,2015,dirty_politics
90,woman,surprise,2015,dirty_politics
26,man,angry,2015,dirty_politics
145,man,neutral,2015,dirty_politics
145,woman,surprise,2015,dirty_politics
8,man,angry,2015,dirty_politics
103,man,sad,2015,dirty_politics
89,woman,neutral,2015,dirty_politics
33,woman,neutral,2015,dirty_politics
102,man,sad,2015,dirty_politics
29,man,angry,2015,dirty_politics
110,man,neutral,2015,dirty_politics
129,man,fear,2015,dirty_politics
151,man,happy,2015,dirty_politics
151,man,neutral,2015,dirty_politics
151,man,neutral,2015,dirty_politics
151,woman,happy,2015,dirty_politics
151,man,sad,2015,dirty_politics
151,man,angry,2015,dirty_politics
151,man,angry,2015,dirty_politics
151,man,happy,2015,dirty_politics
151,man,fear,2015,dirty_politics
66,woman,surprise,2015,dirty_politics
144,man,neutral,2015,dirty_politics
7,man,angry,2015,dirty_politics
136,man,neutral,2015,dirty_politics
77,woman,fear,2015,dirty_politics
27,man,angry,2015,dirty_politics
146,man,neutral,2015,dirty_politics
146,man,surprise,2015,dirty_politics
87,man,angry,2015,dirty_politics
65,man,surprise,2015,dirty_politics
10,woman,fear,2015,dirty_politics
153,man,happy,2015,dirty_politics
153,man,neutral,2015,dirty_politics
153,man,neutral,2015,dirty_politics
153,man,sad,2015,dirty_politics
153,man,angry,2015,dirty_politics
153,woman,happy,2015,dirty_politics
153,man,angry,2015,dirty_politics
153,man,happy,2015,dirty_politics
153,man,fear,2015,dirty_politics
119,man,angry,2015,dirty_politics
9,woman,neutral,2015,dirty_politics
9,man,angry,2015,dirty_politics
39,woman,angry,2015,dirty_politics
32,woman,neutral,2015,dirty_politics
127,man,sad,2015,dirty_politics
157,man,neutral,2015,dirty_politics
157,man,happy,2015,dirty_politics
157,man,neutral,2015,dirty_politics
157,man,sad,2015,dirty_politics
157,woman,happy,2015,dirty_politics
157,man,angry,2015,dirty_politics
157,man,angry,2015,dirty_politics
157,man,happy,2015,dirty_politics
157,man,fear,2015,dirty_politics
137,man,neutral,2015,dirty_politics
78,woman,fear,2015,dirty_politics
97,man,angry,2015,dirty_politics
34,man,angry,2015,dirty_politics
114,man,sad,2015,dirty_politics
152,man,happy,2015,dirty_politics
152,man,neutral,2015,dirty_politics
152,man,neutral,2015,dirty_politics
152,man,sad,2015,dirty_politics
152,man,angry,2015,dirty_politics
152,woman,happy,2015,dirty_politics
152,man,angry,2015,dirty_politics
152,man,happy,2015,dirty_politics
152,man,fear,2015,dirty_politics
57,woman,fear,2015,dirty_politics
130,man,neutral,2015,dirty_politics
79,woman,surprise,2015,dirty_politics
