frame_number,man/woman,emotion,year,movie_name
93,man,angry,2015,gabbar_is_back
93,man,sad,2015,gabbar_is_back
85,man,neutral,2015,gabbar_is_back
28,man,happy,2015,gabbar_is_back
58,man,sad,2015,gabbar_is_back
96,man,sad,2015,gabbar_is_back
96,man,fear,2015,gabbar_is_back
91,woman,happy,2015,gabbar_is_back
35,man,fear,2015,gabbar_is_back
36,man,fear,2015,gabbar_is_back
106,man,angry,2015,gabbar_is_back
106,man,happy,2015,gabbar_is_back
145,man,neutral,2015,gabbar_is_back
63,man,sad,2015,gabbar_is_back
103,man,surprise,2015,gabbar_is_back
89,man,sad,2015,gabbar_is_back
143,man,angry,2015,gabbar_is_back
92,man,sad,2015,gabbar_is_back
102,man,sad,2015,gabbar_is_back
29,man,neutral,2015,gabbar_is_back
110,man,neutral,2015,gabbar_is_back
144,man,neutral,2015,gabbar_is_back
27,man,sad,2015,gabbar_is_back
65,man,angry,2015,gabbar_is_back
39,man,angry,2015,gabbar_is_back
78,man,angry,2015,gabbar_is_back
78,man,sad,2015,gabbar_is_back
97,woman,angry,2015,gabbar_is_back
57,man,neutral,2015,gabbar_is_back
112,man,angry,2015,gabbar_is_back
79,man,sad,2015,gabbar_is_back
