frame_number,man/woman,emotion,year,movie_name
14,man,happy,2015,guddu_ki_gun
28,woman,happy,2015,guddu_ki_gun
51,man,sad,2015,guddu_ki_gun
118,man,surprise,2015,guddu_ki_gun
44,woman,surprise,2015,guddu_ki_gun
11,woman,surprise,2015,guddu_ki_gun
96,man,happy,2015,guddu_ki_gun
88,man,happy,2015,guddu_ki_gun
88,woman,happy,2015,guddu_ki_gun
147,man,neutral,2015,guddu_ki_gun
154,man,angry,2015,guddu_ki_gun
20,woman,happy,2015,guddu_ki_gun
170,man,happy,2015,guddu_ki_gun
71,man,neutral,2015,guddu_ki_gun
71,woman,angry,2015,guddu_ki_gun
15,woman,happy,2015,guddu_ki_gun
19,man,happy,2015,guddu_ki_gun
120,man,angry,2015,guddu_ki_gun
163,man,sad,2015,guddu_ki_gun
163,man,neutral,2015,guddu_ki_gun
108,man,surprise,2015,guddu_ki_gun
155,man,sad,2015,guddu_ki_gun
156,woman,happy,2015,guddu_ki_gun
158,woman,sad,2015,guddu_ki_gun
107,man,surprise,2015,guddu_ki_gun
168,man,angry,2015,guddu_ki_gun
106,man,happy,2015,guddu_ki_gun
52,man,angry,2015,guddu_ki_gun
68,man,neutral,2015,guddu_ki_gun
68,man,angry,2015,guddu_ki_gun
121,man,surprise,2015,guddu_ki_gun
70,man,neutral,2015,guddu_ki_gun
53,woman,angry,2015,guddu_ki_gun
145,woman,sad,2015,guddu_ki_gun
145,man,fear,2015,guddu_ki_gun
8,man,surprise,2015,guddu_ki_gun
49,woman,surprise,2015,guddu_ki_gun
165,woman,angry,2015,guddu_ki_gun
69,man,neutral,2015,guddu_ki_gun
54,man,disgust,2015,guddu_ki_gun
40,man,angry,2015,guddu_ki_gun
116,man,surprise,2015,guddu_ki_gun
33,woman,fear,2015,guddu_ki_gun
109,woman,surprise,2015,guddu_ki_gun
110,man,neutral,2015,guddu_ki_gun
129,man,happy,2015,guddu_ki_gun
164,man,sad,2015,guddu_ki_gun
83,woman,fear,2015,guddu_ki_gun
84,man,angry,2015,guddu_ki_gun
13,man,happy,2015,guddu_ki_gun
7,woman,happy,2015,guddu_ki_gun
133,woman,sad,2015,guddu_ki_gun
27,man,happy,2015,guddu_ki_gun
87,man,surprise,2015,guddu_ki_gun
82,woman,angry,2015,guddu_ki_gun
24,man,happy,2015,guddu_ki_gun
10,man,happy,2015,guddu_ki_gun
166,woman,angry,2015,guddu_ki_gun
153,man,happy,2015,guddu_ki_gun
81,woman,surprise,2015,guddu_ki_gun
169,man,angry,2015,guddu_ki_gun
119,man,fear,2015,guddu_ki_gun
50,woman,angry,2015,guddu_ki_gun
113,woman,fear,2015,guddu_ki_gun
9,woman,surprise,2015,guddu_ki_gun
32,woman,angry,2015,guddu_ki_gun
47,man,surprise,2015,guddu_ki_gun
48,woman,surprise,2015,guddu_ki_gun
115,woman,neutral,2015,guddu_ki_gun
95,man,happy,2015,guddu_ki_gun
78,woman,fear,2015,guddu_ki_gun
117,woman,surprise,2015,guddu_ki_gun
97,man,surprise,2015,guddu_ki_gun
34,woman,happy,2015,guddu_ki_gun
34,woman,sad,2015,guddu_ki_gun
105,man,happy,2015,guddu_ki_gun
43,woman,surprise,2015,guddu_ki_gun
22,woman,neutral,2015,guddu_ki_gun
73,man,surprise,2015,guddu_ki_gun
73,man,surprise,2015,guddu_ki_gun
124,man,surprise,2015,guddu_ki_gun
130,man,happy,2015,guddu_ki_gun
112,woman,neutral,2015,guddu_ki_gun
72,man,sad,2015,guddu_ki_gun
23,man,happy,2015,guddu_ki_gun
25,man,neutral,2015,guddu_ki_gun
