frame_number,man/woman,emotion,year,movie_name
62,man,angry,2015,guddu_rangeela
94,woman,neutral,2015,guddu_rangeela
96,man,neutral,2015,guddu_rangeela
88,man,angry,2015,guddu_rangeela
71,man,happy,2015,guddu_rangeela
71,man,sad,2015,guddu_rangeela
30,woman,sad,2015,guddu_rangeela
76,man,sad,2015,guddu_rangeela
120,woman,angry,2015,guddu_rangeela
107,man,happy,2015,guddu_rangeela
121,woman,angry,2015,guddu_rangeela
38,man,sad,2015,guddu_rangeela
29,man,sad,2015,guddu_rangeela
37,man,angry,2015,guddu_rangeela
66,man,happy,2015,guddu_rangeela
1,man,sad,2015,guddu_rangeela
7,man,sad,2015,guddu_rangeela
27,man,neutral,2015,guddu_rangeela
24,woman,angry,2015,guddu_rangeela
46,man,angry,2015,guddu_rangeela
16,woman,sad,2015,guddu_rangeela
17,woman,sad,2015,guddu_rangeela
123,woman,sad,2015,guddu_rangeela
47,man,sad,2015,guddu_rangeela
48,woman,neutral,2015,guddu_rangeela
115,woman,neutral,2015,guddu_rangeela
95,man,angry,2015,guddu_rangeela
21,man,angry,2015,guddu_rangeela
114,woman,neutral,2015,guddu_rangeela
22,man,angry,2015,guddu_rangeela
72,man,neutral,2015,guddu_rangeela
79,man,neutral,2015,guddu_rangeela
23,woman,fear,2015,guddu_rangeela
18,woman,sad,2015,guddu_rangeela
