frame_number,man/woman,emotion,year,movie_name
51,man,surprise,2015,hamari_adhuri_kahani
60,man,sad,2015,hamari_adhuri_kahani
58,man,happy,2015,hamari_adhuri_kahani
61,man,sad,2015,hamari_adhuri_kahani
44,man,angry,2015,hamari_adhuri_kahani
88,woman,neutral,2015,hamari_adhuri_kahani
71,woman,sad,2015,hamari_adhuri_kahani
140,man,sad,2015,hamari_adhuri_kahani
86,man,sad,2015,hamari_adhuri_kahani
45,man,surprise,2015,hamari_adhuri_kahani
156,woman,fear,2015,hamari_adhuri_kahani
158,man,neutral,2015,hamari_adhuri_kahani
59,man,fear,2015,hamari_adhuri_kahani
162,man,neutral,2015,hamari_adhuri_kahani
106,man,happy,2015,hamari_adhuri_kahani
106,woman,sad,2015,hamari_adhuri_kahani
52,woman,fear,2015,hamari_adhuri_kahani
70,man,angry,2015,hamari_adhuri_kahani
53,woman,neutral,2015,hamari_adhuri_kahani
145,man,neutral,2015,hamari_adhuri_kahani
69,man,angry,2015,hamari_adhuri_kahani
42,man,sad,2015,hamari_adhuri_kahani
138,man,neutral,2015,hamari_adhuri_kahani
135,woman,sad,2015,hamari_adhuri_kahani
109,woman,fear,2015,hamari_adhuri_kahani
110,man,sad,2015,hamari_adhuri_kahani
83,man,sad,2015,hamari_adhuri_kahani
161,man,neutral,2015,hamari_adhuri_kahani
84,woman,fear,2015,hamari_adhuri_kahani
144,man,angry,2015,hamari_adhuri_kahani
136,man,sad,2015,hamari_adhuri_kahani
146,man,neutral,2015,hamari_adhuri_kahani
87,woman,angry,2015,hamari_adhuri_kahani
41,man,neutral,2015,hamari_adhuri_kahani
134,man,sad,2015,hamari_adhuri_kahani
160,man,neutral,2015,hamari_adhuri_kahani
119,woman,neutral,2015,hamari_adhuri_kahani
50,man,neutral,2015,hamari_adhuri_kahani
113,man,angry,2015,hamari_adhuri_kahani
157,man,neutral,2015,hamari_adhuri_kahani
126,woman,sad,2015,hamari_adhuri_kahani
101,woman,happy,2015,hamari_adhuri_kahani
159,man,neutral,2015,hamari_adhuri_kahani
99,woman,happy,2015,hamari_adhuri_kahani
64,woman,fear,2015,hamari_adhuri_kahani
79,man,happy,2015,hamari_adhuri_kahani
75,man,sad,2015,hamari_adhuri_kahani
