frame_number,man/woman,emotion,year,movie_name
85,man,sad,2015,hero
60,man,neutral,2015,hero
111,woman,sad,2015,hero
58,man,neutral,2015,hero
88,woman,sad,2015,hero
147,man,neutral,2015,hero
147,man,sad,2015,hero
15,man,angry,2015,hero
59,man,sad,2015,hero
52,man,neutral,2015,hero
145,man,neutral,2015,hero
145,man,neutral,2015,hero
69,man,neutral,2015,hero
54,man,angry,2015,hero
116,woman,sad,2015,hero
83,man,sad,2015,hero
84,man,sad,2015,hero
144,man,neutral,2015,hero
144,man,angry,2015,hero
81,man,sad,2015,hero
113,woman,angry,2015,hero
123,man,angry,2015,hero
100,man,neutral,2015,hero
115,man,neutral,2015,hero
99,man,neutral,2015,hero
73,woman,fear,2015,hero
57,man,happy,2015,hero
112,woman,fear,2015,hero
79,woman,angry,2015,hero
75,man,angry,2015,hero
80,man,sad,2015,hero
