frame_number,man/woman,emotion,year,movie_name
122,woman,angry,2015,hunterrr
14,man,neutral,2015,hunterrr
60,man,happy,2015,hunterrr
58,woman,happy,2015,hunterrr
11,man,neutral,2015,hunterrr
30,woman,neutral,2015,hunterrr
30,woman,sad,2015,hunterrr
15,man,neutral,2015,hunterrr
125,man,neutral,2015,hunterrr
86,woman,angry,2015,hunterrr
59,man,sad,2015,hunterrr
107,woman,sad,2015,hunterrr
104,man,angry,2015,hunterrr
68,man,happy,2015,hunterrr
121,woman,sad,2015,hunterrr
70,man,fear,2015,hunterrr
12,man,neutral,2015,hunterrr
63,woman,sad,2015,hunterrr
69,man,neutral,2015,hunterrr
42,man,happy,2015,hunterrr
40,man,happy,2015,hunterrr
33,woman,happy,2015,hunterrr
37,man,neutral,2015,hunterrr
66,man,angry,2015,hunterrr
13,man,neutral,2015,hunterrr
77,man,neutral,2015,hunterrr
77,woman,sad,2015,hunterrr
87,woman,angry,2015,hunterrr
141,man,angry,2015,hunterrr
46,man,happy,2015,hunterrr
16,man,neutral,2015,hunterrr
17,man,neutral,2015,hunterrr
41,man,happy,2015,hunterrr
10,man,neutral,2015,hunterrr
81,woman,surprise,2015,hunterrr
50,man,neutral,2015,hunterrr
127,man,fear,2015,hunterrr
78,woman,sad,2015,hunterrr
73,man,neutral,2015,hunterrr
124,man,fear,2015,hunterrr
79,woman,neutral,2015,hunterrr
23,man,fear,2015,hunterrr
139,man,sad,2015,hunterrr
139,man,fear,2015,hunterrr
18,man,sad,2015,hunterrr
80,man,happy,2015,hunterrr
