frame_number,man/woman,emotion,year,movie_name
14,man,neutral,2015,i_love_desi
14,man,fear,2015,i_love_desi
85,woman,disgust,2015,i_love_desi
85,woman,sad,2015,i_love_desi
28,woman,happy,2015,i_love_desi
28,man,happy,2015,i_love_desi
62,woman,angry,2015,i_love_desi
62,woman,fear,2015,i_love_desi
62,man,happy,2015,i_love_desi
60,woman,surprise,2015,i_love_desi
60,woman,sad,2015,i_love_desi
60,man,neutral,2015,i_love_desi
58,man,neutral,2015,i_love_desi
61,woman,angry,2015,i_love_desi
61,woman,fear,2015,i_love_desi
61,man,happy,2015,i_love_desi
4,man,neutral,2015,i_love_desi
4,man,sad,2015,i_love_desi
11,woman,happy,2015,i_love_desi
20,woman,neutral,2015,i_love_desi
71,man,neutral,2015,i_love_desi
30,man,fear,2015,i_love_desi
30,man,angry,2015,i_love_desi
19,woman,neutral,2015,i_love_desi
76,man,neutral,2015,i_love_desi
120,man,neutral,2015,i_love_desi
45,woman,sad,2015,i_love_desi
2,woman,sad,2015,i_love_desi
36,man,happy,2015,i_love_desi
59,woman,angry,2015,i_love_desi
59,woman,surprise,2015,i_love_desi
59,man,neutral,2015,i_love_desi
68,man,neutral,2015,i_love_desi
90,woman,sad,2015,i_love_desi
38,man,neutral,2015,i_love_desi
12,woman,disgust,2015,i_love_desi
63,woman,angry,2015,i_love_desi
63,woman,fear,2015,i_love_desi
63,man,happy,2015,i_love_desi
42,man,neutral,2015,i_love_desi
40,woman,angry,2015,i_love_desi
116,woman,fear,2015,i_love_desi
56,man,angry,2015,i_love_desi
33,man,neutral,2015,i_love_desi
33,man,angry,2015,i_love_desi
109,man,sad,2015,i_love_desi
74,man,neutral,2015,i_love_desi
29,man,fear,2015,i_love_desi
29,man,angry,2015,i_love_desi
37,man,happy,2015,i_love_desi
83,man,neutral,2015,i_love_desi
84,man,neutral,2015,i_love_desi
84,man,happy,2015,i_love_desi
13,woman,happy,2015,i_love_desi
82,woman,sad,2015,i_love_desi
82,man,sad,2015,i_love_desi
82,man,fear,2015,i_love_desi
24,man,neutral,2015,i_love_desi
46,man,neutral,2015,i_love_desi
17,woman,neutral,2015,i_love_desi
65,man,neutral,2015,i_love_desi
41,woman,neutral,2015,i_love_desi
50,man,sad,2015,i_love_desi
39,woman,surprise,2015,i_love_desi
32,man,angry,2015,i_love_desi
48,man,surprise,2015,i_love_desi
97,man,neutral,2015,i_love_desi
43,man,neutral,2015,i_love_desi
21,woman,sad,2015,i_love_desi
21,woman,angry,2015,i_love_desi
22,woman,neutral,2015,i_love_desi
73,man,fear,2015,i_love_desi
57,woman,angry,2015,i_love_desi
64,man,neutral,2015,i_love_desi
72,man,neutral,2015,i_love_desi
75,man,fear,2015,i_love_desi
18,man,sad,2015,i_love_desi
18,man,sad,2015,i_love_desi
80,woman,fear,2015,i_love_desi
31,woman,neutral,2015,i_love_desi
