frame_number,man/woman,emotion,year,movie_name
93,man,fear,2015,kaagaz_ke_fools
85,woman,surprise,2015,kaagaz_ke_fools
111,woman,surprise,2015,kaagaz_ke_fools
94,man,fear,2015,kaagaz_ke_fools
58,woman,fear,2015,kaagaz_ke_fools
58,man,angry,2015,kaagaz_ke_fools
44,man,happy,2015,kaagaz_ke_fools
173,woman,sad,2015,kaagaz_ke_fools
11,man,fear,2015,kaagaz_ke_fools
96,man,fear,2015,kaagaz_ke_fools
88,woman,surprise,2015,kaagaz_ke_fools
154,man,neutral,2015,kaagaz_ke_fools
128,man,angry,2015,kaagaz_ke_fools
20,man,happy,2015,kaagaz_ke_fools
15,man,angry,2015,kaagaz_ke_fools
125,man,angry,2015,kaagaz_ke_fools
76,woman,happy,2015,kaagaz_ke_fools
140,woman,happy,2015,kaagaz_ke_fools
140,man,sad,2015,kaagaz_ke_fools
86,woman,surprise,2015,kaagaz_ke_fools
45,man,happy,2015,kaagaz_ke_fools
55,man,angry,2015,kaagaz_ke_fools
155,man,happy,2015,kaagaz_ke_fools
156,man,happy,2015,kaagaz_ke_fools
91,man,fear,2015,kaagaz_ke_fools
35,man,happy,2015,kaagaz_ke_fools
36,woman,happy,2015,kaagaz_ke_fools
158,man,happy,2015,kaagaz_ke_fools
162,man,sad,2015,kaagaz_ke_fools
176,man,happy,2015,kaagaz_ke_fools
176,woman,sad,2015,kaagaz_ke_fools
68,man,angry,2015,kaagaz_ke_fools
90,woman,fear,2015,kaagaz_ke_fools
38,man,sad,2015,kaagaz_ke_fools
145,woman,happy,2015,kaagaz_ke_fools
49,man,angry,2015,kaagaz_ke_fools
49,man,angry,2015,kaagaz_ke_fools
165,woman,fear,2015,kaagaz_ke_fools
42,man,angry,2015,kaagaz_ke_fools
40,man,fear,2015,kaagaz_ke_fools
138,man,happy,2015,kaagaz_ke_fools
89,woman,happy,2015,kaagaz_ke_fools
135,man,angry,2015,kaagaz_ke_fools
33,man,happy,2015,kaagaz_ke_fools
178,woman,neutral,2015,kaagaz_ke_fools
179,woman,neutral,2015,kaagaz_ke_fools
109,woman,sad,2015,kaagaz_ke_fools
175,man,neutral,2015,kaagaz_ke_fools
175,man,neutral,2015,kaagaz_ke_fools
74,woman,sad,2015,kaagaz_ke_fools
92,man,fear,2015,kaagaz_ke_fools
102,man,sad,2015,kaagaz_ke_fools
102,woman,sad,2015,kaagaz_ke_fools
110,man,sad,2015,kaagaz_ke_fools
110,woman,sad,2015,kaagaz_ke_fools
37,woman,happy,2015,kaagaz_ke_fools
164,woman,fear,2015,kaagaz_ke_fools
151,woman,happy,2015,kaagaz_ke_fools
83,woman,surprise,2015,kaagaz_ke_fools
161,man,happy,2015,kaagaz_ke_fools
84,woman,surprise,2015,kaagaz_ke_fools
136,man,angry,2015,kaagaz_ke_fools
172,woman,sad,2015,kaagaz_ke_fools
46,woman,sad,2015,kaagaz_ke_fools
16,man,angry,2015,kaagaz_ke_fools
16,woman,surprise,2015,kaagaz_ke_fools
17,man,angry,2015,kaagaz_ke_fools
17,man,happy,2015,kaagaz_ke_fools
167,man,neutral,2015,kaagaz_ke_fools
41,man,angry,2015,kaagaz_ke_fools
10,woman,neutral,2015,kaagaz_ke_fools
166,woman,angry,2015,kaagaz_ke_fools
153,man,sad,2015,kaagaz_ke_fools
160,man,happy,2015,kaagaz_ke_fools
39,woman,sad,2015,kaagaz_ke_fools
127,man,angry,2015,kaagaz_ke_fools
157,man,happy,2015,kaagaz_ke_fools
47,man,angry,2015,kaagaz_ke_fools
47,man,happy,2015,kaagaz_ke_fools
48,man,angry,2015,kaagaz_ke_fools
48,man,happy,2015,kaagaz_ke_fools
115,man,sad,2015,kaagaz_ke_fools
126,man,angry,2015,kaagaz_ke_fools
95,man,fear,2015,kaagaz_ke_fools
101,woman,sad,2015,kaagaz_ke_fools
159,man,sad,2015,kaagaz_ke_fools
34,man,angry,2015,kaagaz_ke_fools
43,man,sad,2015,kaagaz_ke_fools
21,man,fear,2015,kaagaz_ke_fools
22,woman,sad,2015,kaagaz_ke_fools
174,woman,sad,2015,kaagaz_ke_fools
152,man,angry,2015,kaagaz_ke_fools
57,woman,fear,2015,kaagaz_ke_fools
57,man,sad,2015,kaagaz_ke_fools
177,woman,neutral,2015,kaagaz_ke_fools
112,woman,sad,2015,kaagaz_ke_fools
75,man,happy,2015,kaagaz_ke_fools
139,woman,happy,2015,kaagaz_ke_fools
139,man,neutral,2015,kaagaz_ke_fools
18,man,sad,2015,kaagaz_ke_fools
18,man,angry,2015,kaagaz_ke_fools
25,man,happy,2015,kaagaz_ke_fools
