frame_number,man/woman,emotion,year,movie_name
93,woman,neutral,2015,katti_batti
249,man,sad,2015,katti_batti
94,woman,surprise,2015,katti_batti
58,man,sad,2015,katti_batti
259,man,neutral,2015,katti_batti
131,man,fear,2015,katti_batti
96,man,neutral,2015,katti_batti
251,man,angry,2015,katti_batti
88,man,surprise,2015,katti_batti
224,woman,angry,2015,katti_batti
211,man,happy,2015,katti_batti
86,man,angry,2015,katti_batti
55,man,neutral,2015,katti_batti
59,woman,angry,2015,katti_batti
210,man,sad,2015,katti_batti
176,woman,surprise,2015,katti_batti
212,woman,sad,2015,katti_batti
250,man,sad,2015,katti_batti
90,man,surprise,2015,katti_batti
63,woman,sad,2015,katti_batti
54,man,sad,2015,katti_batti
225,woman,happy,2015,katti_batti
138,man,fear,2015,katti_batti
56,man,happy,2015,katti_batti
109,man,happy,2015,katti_batti
74,man,happy,2015,katti_batti
190,woman,happy,2015,katti_batti
226,man,neutral,2015,katti_batti
83,man,surprise,2015,katti_batti
248,man,angry,2015,katti_batti
133,woman,sad,2015,katti_batti
87,man,surprise,2015,katti_batti
87,man,sad,2015,katti_batti
65,man,sad,2015,katti_batti
196,man,neutral,2015,katti_batti
208,man,surprise,2015,katti_batti
257,man,sad,2015,katti_batti
100,man,neutral,2015,katti_batti
100,man,neutral,2015,katti_batti
95,woman,neutral,2015,katti_batti
101,man,sad,2015,katti_batti
101,man,fear,2015,katti_batti
260,man,neutral,2015,katti_batti
73,man,happy,2015,katti_batti
189,man,sad,2015,katti_batti
57,man,happy,2015,katti_batti
258,man,sad,2015,katti_batti
72,woman,surprise,2015,katti_batti
139,man,sad,2015,katti_batti
