frame_number,man/woman,emotion,year,movie_name
85,man,fear,2015,kis_kisko_pyaar_karoon
28,man,neutral,2015,kis_kisko_pyaar_karoon
111,woman,surprise,2015,kis_kisko_pyaar_karoon
132,woman,neutral,2015,kis_kisko_pyaar_karoon
94,man,happy,2015,kis_kisko_pyaar_karoon
94,woman,sad,2015,kis_kisko_pyaar_karoon
44,woman,sad,2015,kis_kisko_pyaar_karoon
11,man,fear,2015,kis_kisko_pyaar_karoon
131,man,neutral,2015,kis_kisko_pyaar_karoon
15,man,sad,2015,kis_kisko_pyaar_karoon
86,man,fear,2015,kis_kisko_pyaar_karoon
55,man,neutral,2015,kis_kisko_pyaar_karoon
35,man,neutral,2015,kis_kisko_pyaar_karoon
104,man,neutral,2015,kis_kisko_pyaar_karoon
52,man,angry,2015,kis_kisko_pyaar_karoon
70,man,happy,2015,kis_kisko_pyaar_karoon
38,woman,angry,2015,kis_kisko_pyaar_karoon
142,man,angry,2015,kis_kisko_pyaar_karoon
103,woman,neutral,2015,kis_kisko_pyaar_karoon
54,man,happy,2015,kis_kisko_pyaar_karoon
54,man,fear,2015,kis_kisko_pyaar_karoon
135,woman,neutral,2015,kis_kisko_pyaar_karoon
56,man,happy,2015,kis_kisko_pyaar_karoon
33,woman,neutral,2015,kis_kisko_pyaar_karoon
109,woman,fear,2015,kis_kisko_pyaar_karoon
29,woman,happy,2015,kis_kisko_pyaar_karoon
29,man,angry,2015,kis_kisko_pyaar_karoon
110,woman,angry,2015,kis_kisko_pyaar_karoon
83,woman,neutral,2015,kis_kisko_pyaar_karoon
133,woman,surprise,2015,kis_kisko_pyaar_karoon
136,woman,neutral,2015,kis_kisko_pyaar_karoon
87,man,neutral,2015,kis_kisko_pyaar_karoon
82,woman,neutral,2015,kis_kisko_pyaar_karoon
16,man,fear,2015,kis_kisko_pyaar_karoon
17,man,surprise,2015,kis_kisko_pyaar_karoon
10,man,angry,2015,kis_kisko_pyaar_karoon
134,man,angry,2015,kis_kisko_pyaar_karoon
81,woman,neutral,2015,kis_kisko_pyaar_karoon
50,woman,angry,2015,kis_kisko_pyaar_karoon
113,man,fear,2015,kis_kisko_pyaar_karoon
9,man,angry,2015,kis_kisko_pyaar_karoon
148,woman,happy,2015,kis_kisko_pyaar_karoon
148,woman,happy,2015,kis_kisko_pyaar_karoon
48,woman,angry,2015,kis_kisko_pyaar_karoon
34,woman,neutral,2015,kis_kisko_pyaar_karoon
105,woman,fear,2015,kis_kisko_pyaar_karoon
114,woman,fear,2015,kis_kisko_pyaar_karoon
130,woman,neutral,2015,kis_kisko_pyaar_karoon
112,man,angry,2015,kis_kisko_pyaar_karoon
139,woman,neutral,2015,kis_kisko_pyaar_karoon
