frame_number,man/woman,emotion,year,movie_name
14,woman,happy,2015,kuch_kuch_locha_hai
14,man,sad,2015,kuch_kuch_locha_hai
85,man,neutral,2015,kuch_kuch_locha_hai
62,man,happy,2015,kuch_kuch_locha_hai
60,man,sad,2015,kuch_kuch_locha_hai
58,man,sad,2015,kuch_kuch_locha_hai
61,woman,neutral,2015,kuch_kuch_locha_hai
173,man,surprise,2015,kuch_kuch_locha_hai
173,woman,happy,2015,kuch_kuch_locha_hai
173,woman,angry,2015,kuch_kuch_locha_hai
128,woman,sad,2015,kuch_kuch_locha_hai
128,man,surprise,2015,kuch_kuch_locha_hai
170,man,surprise,2015,kuch_kuch_locha_hai
170,woman,happy,2015,kuch_kuch_locha_hai
170,woman,angry,2015,kuch_kuch_locha_hai
15,man,neutral,2015,kuch_kuch_locha_hai
15,woman,surprise,2015,kuch_kuch_locha_hai
125,woman,angry,2015,kuch_kuch_locha_hai
19,man,angry,2015,kuch_kuch_locha_hai
163,woman,happy,2015,kuch_kuch_locha_hai
163,man,surprise,2015,kuch_kuch_locha_hai
163,woman,angry,2015,kuch_kuch_locha_hai
149,man,neutral,2015,kuch_kuch_locha_hai
45,man,sad,2015,kuch_kuch_locha_hai
55,woman,happy,2015,kuch_kuch_locha_hai
36,woman,happy,2015,kuch_kuch_locha_hai
158,woman,neutral,2015,kuch_kuch_locha_hai
158,woman,angry,2015,kuch_kuch_locha_hai
59,woman,sad,2015,kuch_kuch_locha_hai
168,man,surprise,2015,kuch_kuch_locha_hai
168,woman,happy,2015,kuch_kuch_locha_hai
168,woman,angry,2015,kuch_kuch_locha_hai
162,woman,happy,2015,kuch_kuch_locha_hai
162,man,surprise,2015,kuch_kuch_locha_hai
162,woman,angry,2015,kuch_kuch_locha_hai
121,man,surprise,2015,kuch_kuch_locha_hai
121,woman,happy,2015,kuch_kuch_locha_hai
26,man,happy,2015,kuch_kuch_locha_hai
63,man,happy,2015,kuch_kuch_locha_hai
49,woman,neutral,2015,kuch_kuch_locha_hai
165,man,surprise,2015,kuch_kuch_locha_hai
165,woman,happy,2015,kuch_kuch_locha_hai
165,woman,angry,2015,kuch_kuch_locha_hai
171,man,surprise,2015,kuch_kuch_locha_hai
171,woman,happy,2015,kuch_kuch_locha_hai
171,woman,angry,2015,kuch_kuch_locha_hai
42,man,neutral,2015,kuch_kuch_locha_hai
103,woman,angry,2015,kuch_kuch_locha_hai
54,woman,happy,2015,kuch_kuch_locha_hai
89,woman,happy,2015,kuch_kuch_locha_hai
89,man,neutral,2015,kuch_kuch_locha_hai
89,woman,happy,2015,kuch_kuch_locha_hai
56,woman,happy,2015,kuch_kuch_locha_hai
74,woman,fear,2015,kuch_kuch_locha_hai
129,woman,sad,2015,kuch_kuch_locha_hai
129,woman,surprise,2015,kuch_kuch_locha_hai
164,man,surprise,2015,kuch_kuch_locha_hai
164,woman,neutral,2015,kuch_kuch_locha_hai
164,woman,angry,2015,kuch_kuch_locha_hai
83,man,happy,2015,kuch_kuch_locha_hai
161,man,surprise,2015,kuch_kuch_locha_hai
161,woman,happy,2015,kuch_kuch_locha_hai
161,woman,angry,2015,kuch_kuch_locha_hai
84,man,happy,2015,kuch_kuch_locha_hai
27,man,sad,2015,kuch_kuch_locha_hai
146,man,happy,2015,kuch_kuch_locha_hai
172,man,surprise,2015,kuch_kuch_locha_hai
172,woman,happy,2015,kuch_kuch_locha_hai
172,woman,angry,2015,kuch_kuch_locha_hai
82,woman,happy,2015,kuch_kuch_locha_hai
24,man,happy,2015,kuch_kuch_locha_hai
46,man,angry,2015,kuch_kuch_locha_hai
16,man,sad,2015,kuch_kuch_locha_hai
17,man,neutral,2015,kuch_kuch_locha_hai
65,man,happy,2015,kuch_kuch_locha_hai
167,man,surprise,2015,kuch_kuch_locha_hai
167,woman,happy,2015,kuch_kuch_locha_hai
167,woman,angry,2015,kuch_kuch_locha_hai
10,woman,happy,2015,kuch_kuch_locha_hai
166,man,surprise,2015,kuch_kuch_locha_hai
166,woman,happy,2015,kuch_kuch_locha_hai
166,woman,angry,2015,kuch_kuch_locha_hai
160,man,surprise,2015,kuch_kuch_locha_hai
160,woman,neutral,2015,kuch_kuch_locha_hai
160,woman,angry,2015,kuch_kuch_locha_hai
81,woman,angry,2015,kuch_kuch_locha_hai
169,man,surprise,2015,kuch_kuch_locha_hai
169,woman,happy,2015,kuch_kuch_locha_hai
169,woman,angry,2015,kuch_kuch_locha_hai
50,man,fear,2015,kuch_kuch_locha_hai
9,man,happy,2015,kuch_kuch_locha_hai
148,man,neutral,2015,kuch_kuch_locha_hai
47,man,surprise,2015,kuch_kuch_locha_hai
48,man,surprise,2015,kuch_kuch_locha_hai
95,man,happy,2015,kuch_kuch_locha_hai
159,woman,neutral,2015,kuch_kuch_locha_hai
159,man,surprise,2015,kuch_kuch_locha_hai
159,woman,angry,2015,kuch_kuch_locha_hai
43,woman,happy,2015,kuch_kuch_locha_hai
73,woman,sad,2015,kuch_kuch_locha_hai
57,man,sad,2015,kuch_kuch_locha_hai
64,man,happy,2015,kuch_kuch_locha_hai
79,man,neutral,2015,kuch_kuch_locha_hai
23,man,happy,2015,kuch_kuch_locha_hai
75,woman,happy,2015,kuch_kuch_locha_hai
139,woman,neutral,2015,kuch_kuch_locha_hai
25,woman,happy,2015,kuch_kuch_locha_hai
80,woman,happy,2015,kuch_kuch_locha_hai
31,man,happy,2015,kuch_kuch_locha_hai
