frame_number,man/woman,emotion,year,movie_name
93,woman,sad,2015,luckhnowi_ishq
122,woman,sad,2015,luckhnowi_ishq
62,man,happy,2015,luckhnowi_ishq
60,woman,neutral,2015,luckhnowi_ishq
60,woman,neutral,2015,luckhnowi_ishq
118,man,sad,2015,luckhnowi_ishq
118,woman,sad,2015,luckhnowi_ishq
94,woman,sad,2015,luckhnowi_ishq
88,woman,happy,2015,luckhnowi_ishq
3,man,fear,2015,luckhnowi_ishq
128,woman,sad,2015,luckhnowi_ishq
76,woman,neutral,2015,luckhnowi_ishq
108,man,sad,2015,luckhnowi_ishq
86,man,neutral,2015,luckhnowi_ishq
55,woman,happy,2015,luckhnowi_ishq
2,man,sad,2015,luckhnowi_ishq
91,woman,sad,2015,luckhnowi_ishq
35,woman,happy,2015,luckhnowi_ishq
36,man,neutral,2015,luckhnowi_ishq
36,man,happy,2015,luckhnowi_ishq
36,man,happy,2015,luckhnowi_ishq
59,woman,neutral,2015,luckhnowi_ishq
107,man,sad,2015,luckhnowi_ishq
121,man,disgust,2015,luckhnowi_ishq
38,man,angry,2015,luckhnowi_ishq
53,woman,fear,2015,luckhnowi_ishq
145,man,happy,2015,luckhnowi_ishq
142,woman,surprise,2015,luckhnowi_ishq
63,man,happy,2015,luckhnowi_ishq
49,woman,neutral,2015,luckhnowi_ishq
69,woman,happy,2015,luckhnowi_ishq
69,woman,neutral,2015,luckhnowi_ishq
40,woman,happy,2015,luckhnowi_ishq
138,woman,happy,2015,luckhnowi_ishq
135,woman,happy,2015,luckhnowi_ishq
135,woman,sad,2015,luckhnowi_ishq
143,woman,happy,2015,luckhnowi_ishq
129,woman,angry,2015,luckhnowi_ishq
37,woman,neutral,2015,luckhnowi_ishq
37,woman,neutral,2015,luckhnowi_ishq
66,man,happy,2015,luckhnowi_ishq
84,woman,sad,2015,luckhnowi_ishq
13,woman,neutral,2015,luckhnowi_ishq
13,woman,happy,2015,luckhnowi_ishq
87,man,happy,2015,luckhnowi_ishq
17,woman,neutral,2015,luckhnowi_ishq
41,woman,happy,2015,luckhnowi_ishq
81,woman,sad,2015,luckhnowi_ishq
50,woman,fear,2015,luckhnowi_ishq
50,woman,happy,2015,luckhnowi_ishq
123,woman,neutral,2015,luckhnowi_ishq
137,man,angry,2015,luckhnowi_ishq
34,man,happy,2015,luckhnowi_ishq
73,woman,sad,2015,luckhnowi_ishq
152,woman,fear,2015,luckhnowi_ishq
112,woman,neutral,2015,luckhnowi_ishq
75,man,neutral,2015,luckhnowi_ishq
