frame_number,man/woman,emotion,year,movie_name
122,man,sad,2015,main_hoon_rajinikanth
118,man,happy,2015,main_hoon_rajinikanth
58,man,happy,2015,main_hoon_rajinikanth
131,man,fear,2015,main_hoon_rajinikanth
96,man,surprise,2015,main_hoon_rajinikanth
128,man,angry,2015,main_hoon_rajinikanth
125,man,happy,2015,main_hoon_rajinikanth
120,man,fear,2015,main_hoon_rajinikanth
106,woman,sad,2015,main_hoon_rajinikanth
121,woman,sad,2015,main_hoon_rajinikanth
26,man,happy,2015,main_hoon_rajinikanth
67,man,fear,2015,main_hoon_rajinikanth
42,man,sad,2015,main_hoon_rajinikanth
40,man,angry,2015,main_hoon_rajinikanth
116,man,happy,2015,main_hoon_rajinikanth
56,man,happy,2015,main_hoon_rajinikanth
102,man,happy,2015,main_hoon_rajinikanth
129,man,happy,2015,main_hoon_rajinikanth
133,man,happy,2015,main_hoon_rajinikanth
24,man,sad,2015,main_hoon_rajinikanth
17,man,happy,2015,main_hoon_rajinikanth
41,man,happy,2015,main_hoon_rajinikanth
119,man,sad,2015,main_hoon_rajinikanth
123,man,fear,2015,main_hoon_rajinikanth
127,man,fear,2015,main_hoon_rajinikanth
126,man,happy,2015,main_hoon_rajinikanth
95,man,fear,2015,main_hoon_rajinikanth
101,man,happy,2015,main_hoon_rajinikanth
117,man,happy,2015,main_hoon_rajinikanth
34,man,happy,2015,main_hoon_rajinikanth
43,woman,sad,2015,main_hoon_rajinikanth
57,man,sad,2015,main_hoon_rajinikanth
124,man,happy,2015,main_hoon_rajinikanth
130,man,happy,2015,main_hoon_rajinikanth
18,man,happy,2015,main_hoon_rajinikanth
25,man,sad,2015,main_hoon_rajinikanth
