frame_number,man/woman,emotion,year,movie_name
85,man,sad,2015,margarita_with_a_straw
85,man,sad,2015,margarita_with_a_straw
28,woman,sad,2015,margarita_with_a_straw
62,man,happy,2015,margarita_with_a_straw
60,man,sad,2015,margarita_with_a_straw
185,man,happy,2015,margarita_with_a_straw
154,woman,surprise,2015,margarita_with_a_straw
170,woman,fear,2015,margarita_with_a_straw
30,woman,neutral,2015,margarita_with_a_straw
182,man,fear,2015,margarita_with_a_straw
182,man,sad,2015,margarita_with_a_straw
86,man,sad,2015,margarita_with_a_straw
155,woman,surprise,2015,margarita_with_a_straw
156,woman,surprise,2015,margarita_with_a_straw
35,woman,happy,2015,margarita_with_a_straw
36,woman,happy,2015,margarita_with_a_straw
184,woman,fear,2015,margarita_with_a_straw
107,woman,fear,2015,margarita_with_a_straw
162,woman,happy,2015,margarita_with_a_straw
106,woman,fear,2015,margarita_with_a_straw
176,man,happy,2015,margarita_with_a_straw
150,man,surprise,2015,margarita_with_a_straw
186,man,angry,2015,margarita_with_a_straw
68,man,angry,2015,margarita_with_a_straw
70,woman,sad,2015,margarita_with_a_straw
38,woman,happy,2015,margarita_with_a_straw
26,man,angry,2015,margarita_with_a_straw
145,woman,sad,2015,margarita_with_a_straw
63,man,angry,2015,margarita_with_a_straw
171,woman,fear,2015,margarita_with_a_straw
69,man,neutral,2015,margarita_with_a_straw
180,woman,happy,2015,margarita_with_a_straw
116,woman,angry,2015,margarita_with_a_straw
135,woman,disgust,2015,margarita_with_a_straw
33,woman,happy,2015,margarita_with_a_straw
178,woman,happy,2015,margarita_with_a_straw
179,woman,neutral,2015,margarita_with_a_straw
175,woman,neutral,2015,margarita_with_a_straw
29,woman,angry,2015,margarita_with_a_straw
37,woman,happy,2015,margarita_with_a_straw
151,man,surprise,2015,margarita_with_a_straw
183,man,surprise,2015,margarita_with_a_straw
83,man,sad,2015,margarita_with_a_straw
83,man,happy,2015,margarita_with_a_straw
84,man,sad,2015,margarita_with_a_straw
84,woman,happy,2015,margarita_with_a_straw
181,man,sad,2015,margarita_with_a_straw
136,woman,sad,2015,margarita_with_a_straw
27,woman,neutral,2015,margarita_with_a_straw
146,woman,sad,2015,margarita_with_a_straw
172,man,sad,2015,margarita_with_a_straw
167,woman,fear,2015,margarita_with_a_straw
134,woman,sad,2015,margarita_with_a_straw
153,man,neutral,2015,margarita_with_a_straw
169,woman,surprise,2015,margarita_with_a_straw
113,woman,sad,2015,margarita_with_a_straw
100,man,fear,2015,margarita_with_a_straw
32,man,neutral,2015,margarita_with_a_straw
137,woman,sad,2015,margarita_with_a_straw
115,woman,surprise,2015,margarita_with_a_straw
126,man,happy,2015,margarita_with_a_straw
117,man,neutral,2015,margarita_with_a_straw
34,man,happy,2015,margarita_with_a_straw
105,woman,happy,2015,margarita_with_a_straw
114,woman,sad,2015,margarita_with_a_straw
174,man,happy,2015,margarita_with_a_straw
152,woman,fear,2015,margarita_with_a_straw
64,man,fear,2015,margarita_with_a_straw
177,woman,happy,2015,margarita_with_a_straw
112,woman,happy,2015,margarita_with_a_straw
79,woman,sad,2015,margarita_with_a_straw
80,man,fear,2015,margarita_with_a_straw
31,woman,fear,2015,margarita_with_a_straw
