frame_number,man/woman,emotion,year,movie_name
62,man,angry,2015,masaan
44,man,fear,2015,masaan
88,woman,sad,2015,masaan
71,man,neutral,2015,masaan
15,man,neutral,2015,masaan
76,woman,surprise,2015,masaan
59,woman,sad,2015,masaan
52,woman,happy,2015,masaan
68,man,happy,2015,masaan
90,man,surprise,2015,masaan
53,woman,angry,2015,masaan
63,woman,happy,2015,masaan
63,woman,sad,2015,masaan
49,woman,fear,2015,masaan
49,man,neutral,2015,masaan
69,man,neutral,2015,masaan
67,man,happy,2015,masaan
89,man,neutral,2015,masaan
109,man,happy,2015,masaan
102,man,happy,2015,masaan
29,woman,angry,2015,masaan
110,woman,sad,2015,masaan
66,man,happy,2015,masaan
65,man,sad,2015,masaan
81,man,sad,2015,masaan
113,man,sad,2015,masaan
101,woman,neutral,2015,masaan
105,woman,angry,2015,masaan
64,man,sad,2015,masaan
112,man,sad,2015,masaan
80,woman,neutral,2015,masaan
