frame_number,man/woman,emotion,year,movie_name
93,man,fear,2015,miss_tanakpur_haazir_ho
93,man,sad,2015,miss_tanakpur_haazir_ho
93,man,sad,2015,miss_tanakpur_haazir_ho
122,man,angry,2015,miss_tanakpur_haazir_ho
60,man,angry,2015,miss_tanakpur_haazir_ho
94,woman,fear,2015,miss_tanakpur_haazir_ho
94,man,sad,2015,miss_tanakpur_haazir_ho
94,man,sad,2015,miss_tanakpur_haazir_ho
58,man,angry,2015,miss_tanakpur_haazir_ho
11,man,happy,2015,miss_tanakpur_haazir_ho
96,man,sad,2015,miss_tanakpur_haazir_ho
96,man,neutral,2015,miss_tanakpur_haazir_ho
96,man,sad,2015,miss_tanakpur_haazir_ho
71,man,angry,2015,miss_tanakpur_haazir_ho
125,man,neutral,2015,miss_tanakpur_haazir_ho
76,man,happy,2015,miss_tanakpur_haazir_ho
120,man,neutral,2015,miss_tanakpur_haazir_ho
35,man,happy,2015,miss_tanakpur_haazir_ho
35,man,angry,2015,miss_tanakpur_haazir_ho
36,man,angry,2015,miss_tanakpur_haazir_ho
36,man,happy,2015,miss_tanakpur_haazir_ho
104,man,neutral,2015,miss_tanakpur_haazir_ho
121,man,sad,2015,miss_tanakpur_haazir_ho
121,man,angry,2015,miss_tanakpur_haazir_ho
56,man,sad,2015,miss_tanakpur_haazir_ho
56,woman,angry,2015,miss_tanakpur_haazir_ho
56,man,neutral,2015,miss_tanakpur_haazir_ho
33,man,neutral,2015,miss_tanakpur_haazir_ho
33,man,neutral,2015,miss_tanakpur_haazir_ho
83,man,sad,2015,miss_tanakpur_haazir_ho
77,man,angry,2015,miss_tanakpur_haazir_ho
119,man,angry,2015,miss_tanakpur_haazir_ho
119,man,sad,2015,miss_tanakpur_haazir_ho
119,man,neutral,2015,miss_tanakpur_haazir_ho
50,man,neutral,2015,miss_tanakpur_haazir_ho
123,man,neutral,2015,miss_tanakpur_haazir_ho
123,man,sad,2015,miss_tanakpur_haazir_ho
123,man,angry,2015,miss_tanakpur_haazir_ho
123,man,sad,2015,miss_tanakpur_haazir_ho
39,man,fear,2015,miss_tanakpur_haazir_ho
47,woman,sad,2015,miss_tanakpur_haazir_ho
48,woman,angry,2015,miss_tanakpur_haazir_ho
95,man,sad,2015,miss_tanakpur_haazir_ho
95,woman,fear,2015,miss_tanakpur_haazir_ho
95,man,sad,2015,miss_tanakpur_haazir_ho
34,man,angry,2015,miss_tanakpur_haazir_ho
34,man,angry,2015,miss_tanakpur_haazir_ho
73,man,angry,2015,miss_tanakpur_haazir_ho
124,man,neutral,2015,miss_tanakpur_haazir_ho
124,man,neutral,2015,miss_tanakpur_haazir_ho
124,man,angry,2015,miss_tanakpur_haazir_ho
124,man,neutral,2015,miss_tanakpur_haazir_ho
72,man,neutral,2015,miss_tanakpur_haazir_ho
72,man,neutral,2015,miss_tanakpur_haazir_ho
