frame_number,man/woman,emotion,year,movie_name
122,man,neutral,2015,pyaar_ka_punchname_2
14,man,neutral,2015,pyaar_ka_punchname_2
28,man,angry,2015,pyaar_ka_punchname_2
51,woman,angry,2015,pyaar_ka_punchname_2
98,man,happy,2015,pyaar_ka_punchname_2
98,man,sad,2015,pyaar_ka_punchname_2
98,woman,happy,2015,pyaar_ka_punchname_2
118,man,sad,2015,pyaar_ka_punchname_2
132,man,angry,2015,pyaar_ka_punchname_2
44,woman,happy,2015,pyaar_ka_punchname_2
173,man,neutral,2015,pyaar_ka_punchname_2
4,man,neutral,2015,pyaar_ka_punchname_2
11,man,neutral,2015,pyaar_ka_punchname_2
131,man,neutral,2015,pyaar_ka_punchname_2
3,man,neutral,2015,pyaar_ka_punchname_2
170,man,happy,2015,pyaar_ka_punchname_2
15,man,neutral,2015,pyaar_ka_punchname_2
120,man,neutral,2015,pyaar_ka_punchname_2
108,woman,neutral,2015,pyaar_ka_punchname_2
140,man,happy,2015,pyaar_ka_punchname_2
140,man,happy,2015,pyaar_ka_punchname_2
140,man,neutral,2015,pyaar_ka_punchname_2
86,man,neutral,2015,pyaar_ka_punchname_2
156,woman,sad,2015,pyaar_ka_punchname_2
158,man,neutral,2015,pyaar_ka_punchname_2
158,man,neutral,2015,pyaar_ka_punchname_2
59,woman,sad,2015,pyaar_ka_punchname_2
107,woman,neutral,2015,pyaar_ka_punchname_2
104,man,sad,2015,pyaar_ka_punchname_2
168,man,neutral,2015,pyaar_ka_punchname_2
162,man,happy,2015,pyaar_ka_punchname_2
106,woman,sad,2015,pyaar_ka_punchname_2
106,man,sad,2015,pyaar_ka_punchname_2
106,woman,neutral,2015,pyaar_ka_punchname_2
52,woman,sad,2015,pyaar_ka_punchname_2
176,man,sad,2015,pyaar_ka_punchname_2
150,woman,happy,2015,pyaar_ka_punchname_2
68,man,sad,2015,pyaar_ka_punchname_2
121,man,neutral,2015,pyaar_ka_punchname_2
53,woman,sad,2015,pyaar_ka_punchname_2
142,man,happy,2015,pyaar_ka_punchname_2
142,man,happy,2015,pyaar_ka_punchname_2
