frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2015,rolling_dream
51,woman,neutral,2015,rolling_dream
98,man,neutral,2015,rolling_dream
62,man,angry,2015,rolling_dream
61,man,neutral,2015,rolling_dream
88,man,neutral,2015,rolling_dream
71,man,sad,2015,rolling_dream
76,man,sad,2015,rolling_dream
45,woman,fear,2015,rolling_dream
91,man,sad,2015,rolling_dream
36,woman,fear,2015,rolling_dream
59,man,sad,2015,rolling_dream
70,man,angry,2015,rolling_dream
90,man,surprise,2015,rolling_dream
33,woman,neutral,2015,rolling_dream
37,man,fear,2015,rolling_dream
77,man,sad,2015,rolling_dream
82,man,happy,2015,rolling_dream
81,man,neutral,2015,rolling_dream
34,woman,neutral,2015,rolling_dream
75,man,fear,2015,rolling_dream
