frame_number,man/woman,emotion,year,movie_name
93,woman,happy,2015,shandaar
118,man,neutral,2015,shandaar
111,man,happy,2015,shandaar
131,woman,sad,2015,shandaar
88,woman,happy,2015,shandaar
154,man,angry,2015,shandaar
30,woman,sad,2015,shandaar
76,woman,happy,2015,shandaar
140,man,sad,2015,shandaar
182,woman,angry,2015,shandaar
91,man,happy,2015,shandaar
91,man,happy,2015,shandaar
70,man,happy,2015,shandaar
70,woman,neutral,2015,shandaar
145,woman,neutral,2015,shandaar
142,woman,disgust,2015,shandaar
142,woman,sad,2015,shandaar
63,man,sad,2015,shandaar
103,man,angry,2015,shandaar
180,woman,angry,2015,shandaar
116,man,angry,2015,shandaar
135,woman,sad,2015,shandaar
56,man,sad,2015,shandaar
143,woman,sad,2015,shandaar
143,woman,sad,2015,shandaar
143,man,sad,2015,shandaar
178,woman,fear,2015,shandaar
179,woman,fear,2015,shandaar
74,man,happy,2015,shandaar
102,woman,happy,2015,shandaar
29,man,angry,2015,shandaar
183,woman,fear,2015,shandaar
83,woman,sad,2015,shandaar
161,man,happy,2015,shandaar
66,man,happy,2015,shandaar
181,woman,angry,2015,shandaar
133,woman,happy,2015,shandaar
133,woman,happy,2015,shandaar
133,woman,happy,2015,shandaar
136,man,sad,2015,shandaar
77,woman,neutral,2015,shandaar
146,man,surprise,2015,shandaar
82,woman,surprise,2015,shandaar
82,woman,happy,2015,shandaar
24,man,happy,2015,shandaar
65,man,happy,2015,shandaar
81,man,happy,2015,shandaar
81,woman,happy,2015,shandaar
113,man,happy,2015,shandaar
123,man,angry,2015,shandaar
148,man,neutral,2015,shandaar
115,man,neutral,2015,shandaar
95,man,sad,2015,shandaar
101,woman,sad,2015,shandaar
78,man,sad,2015,shandaar
117,man,fear,2015,shandaar
114,woman,angry,2015,shandaar
22,woman,neutral,2015,shandaar
73,woman,surprise,2015,shandaar
73,woman,happy,2015,shandaar
152,woman,surprise,2015,shandaar
57,man,neutral,2015,shandaar
64,woman,sad,2015,shandaar
112,woman,sad,2015,shandaar
72,man,neutral,2015,shandaar
72,man,sad,2015,shandaar
79,man,sad,2015,shandaar
75,woman,happy,2015,shandaar
80,woman,happy,2015,shandaar
80,woman,angry,2015,shandaar
31,man,disgust,2015,shandaar
