frame_number,man/woman,emotion,year,movie_name
93,man,surprise,2015,sharafat_gayi_tel_lene
122,man,neutral,2015,sharafat_gayi_tel_lene
14,man,sad,2015,sharafat_gayi_tel_lene
28,man,neutral,2015,sharafat_gayi_tel_lene
51,man,neutral,2015,sharafat_gayi_tel_lene
88,man,sad,2015,sharafat_gayi_tel_lene
154,man,neutral,2015,sharafat_gayi_tel_lene
154,woman,happy,2015,sharafat_gayi_tel_lene
128,man,angry,2015,sharafat_gayi_tel_lene
15,man,neutral,2015,sharafat_gayi_tel_lene
15,man,angry,2015,sharafat_gayi_tel_lene
108,man,neutral,2015,sharafat_gayi_tel_lene
55,man,neutral,2015,sharafat_gayi_tel_lene
52,man,neutral,2015,sharafat_gayi_tel_lene
150,man,neutral,2015,sharafat_gayi_tel_lene
150,woman,happy,2015,sharafat_gayi_tel_lene
70,woman,sad,2015,sharafat_gayi_tel_lene
53,man,neutral,2015,sharafat_gayi_tel_lene
49,man,neutral,2015,sharafat_gayi_tel_lene
67,man,neutral,2015,sharafat_gayi_tel_lene
54,man,neutral,2015,sharafat_gayi_tel_lene
109,man,angry,2015,sharafat_gayi_tel_lene
109,man,sad,2015,sharafat_gayi_tel_lene
29,woman,surprise,2015,sharafat_gayi_tel_lene
110,man,neutral,2015,sharafat_gayi_tel_lene
129,man,surprise,2015,sharafat_gayi_tel_lene
151,man,neutral,2015,sharafat_gayi_tel_lene
151,woman,happy,2015,sharafat_gayi_tel_lene
27,woman,happy,2015,sharafat_gayi_tel_lene
87,man,angry,2015,sharafat_gayi_tel_lene
82,man,neutral,2015,sharafat_gayi_tel_lene
16,man,neutral,2015,sharafat_gayi_tel_lene
17,man,fear,2015,sharafat_gayi_tel_lene
153,man,neutral,2015,sharafat_gayi_tel_lene
153,woman,happy,2015,sharafat_gayi_tel_lene
50,man,neutral,2015,sharafat_gayi_tel_lene
127,man,fear,2015,sharafat_gayi_tel_lene
47,man,neutral,2015,sharafat_gayi_tel_lene
137,man,neutral,2015,sharafat_gayi_tel_lene
48,man,neutral,2015,sharafat_gayi_tel_lene
105,man,sad,2015,sharafat_gayi_tel_lene
152,man,neutral,2015,sharafat_gayi_tel_lene
152,woman,happy,2015,sharafat_gayi_tel_lene
64,woman,happy,2015,sharafat_gayi_tel_lene
25,man,neutral,2015,sharafat_gayi_tel_lene
