frame_number,man/woman,emotion,year,movie_name
14,man,sad,2015,talvar
51,man,angry,2015,talvar
98,woman,neutral,2015,talvar
62,woman,angry,2015,talvar
118,man,disgust,2015,talvar
118,man,surprise,2015,talvar
58,woman,surprise,2015,talvar
11,man,sad,2015,talvar
88,man,happy,2015,talvar
15,man,sad,2015,talvar
76,man,fear,2015,talvar
76,man,fear,2015,talvar
86,man,fear,2015,talvar
45,woman,neutral,2015,talvar
55,man,sad,2015,talvar
104,woman,angry,2015,talvar
52,man,angry,2015,talvar
150,woman,sad,2015,talvar
53,man,happy,2015,talvar
63,man,sad,2015,talvar
69,man,angry,2015,talvar
67,man,angry,2015,talvar
54,man,angry,2015,talvar
89,man,happy,2015,talvar
116,man,angry,2015,talvar
33,man,sad,2015,talvar
74,man,sad,2015,talvar
151,man,sad,2015,talvar
83,woman,happy,2015,talvar
66,man,neutral,2015,talvar
46,woman,angry,2015,talvar
65,man,angry,2015,talvar
119,man,happy,2015,talvar
100,man,neutral,2015,talvar
47,woman,angry,2015,talvar
115,man,neutral,2015,talvar
126,woman,fear,2015,talvar
126,man,angry,2015,talvar
101,man,neutral,2015,talvar
101,man,neutral,2015,talvar
99,man,neutral,2015,talvar
114,man,sad,2015,talvar
152,woman,angry,2015,talvar
57,woman,sad,2015,talvar
124,man,sad,2015,talvar
64,man,angry,2015,talvar
