frame_number,man/woman,emotion,year,movie_name
14,woman,fear,2016,31st_october
94,man,angry,2016,31st_october
61,man,fear,2016,31st_october
88,man,angry,2016,31st_october
3,man,neutral,2016,31st_october
19,man,sad,2016,31st_october
59,man,neutral,2016,31st_october
52,woman,sad,2016,31st_october
90,man,sad,2016,31st_october
38,man,neutral,2016,31st_october
56,man,sad,2016,31st_october
13,woman,sad,2016,31st_october
81,man,angry,2016,31st_october
48,woman,neutral,2016,31st_october
80,man,sad,2016,31st_october
