frame_number,man/woman,emotion,year,movie_name
44,woman,fear,2016,7_hours_to_go
86,man,neutral,2016,7_hours_to_go
45,woman,sad,2016,7_hours_to_go
55,man,fear,2016,7_hours_to_go
55,man,sad,2016,7_hours_to_go
36,man,angry,2016,7_hours_to_go
68,man,sad,2016,7_hours_to_go
70,man,fear,2016,7_hours_to_go
38,man,disgust,2016,7_hours_to_go
54,man,fear,2016,7_hours_to_go
56,woman,fear,2016,7_hours_to_go
37,man,angry,2016,7_hours_to_go
77,man,angry,2016,7_hours_to_go
16,woman,neutral,2016,7_hours_to_go
41,man,angry,2016,7_hours_to_go
31,woman,fear,2016,7_hours_to_go
