frame_number,man/woman,emotion,year,movie_name
62,man,neutral,2016,akira
118,man,angry,2016,akira
111,woman,sad,2016,akira
71,man,sad,2016,akira
140,woman,sad,2016,akira
35,woman,angry,2016,akira
104,man,neutral,2016,akira
52,man,sad,2016,akira
52,man,angry,2016,akira
53,man,angry,2016,akira
63,man,neutral,2016,akira
67,man,happy,2016,akira
103,woman,fear,2016,akira
116,man,neutral,2016,akira
56,man,happy,2016,akira
110,man,sad,2016,akira
77,man,sad,2016,akira
16,woman,neutral,2016,akira
17,woman,angry,2016,akira
119,woman,sad,2016,akira
113,man,sad,2016,akira
39,woman,fear,2016,akira
115,man,sad,2016,akira
99,man,sad,2016,akira
34,man,neutral,2016,akira
21,woman,sad,2016,akira
21,man,sad,2016,akira
114,man,sad,2016,akira
57,woman,happy,2016,akira
64,man,neutral,2016,akira
75,woman,sad,2016,akira
139,woman,sad,2016,akira
25,man,angry,2016,akira
