frame_number,man/woman,emotion,year,movie_name
85,woman,fear,2016,azhar
98,man,happy,2016,azhar
132,man,neutral,2016,azhar
58,man,angry,2016,azhar
71,woman,neutral,2016,azhar
125,man,angry,2016,azhar
86,man,angry,2016,azhar
45,man,happy,2016,azhar
59,man,neutral,2016,azhar
68,man,neutral,2016,azhar
90,man,neutral,2016,azhar
69,woman,fear,2016,azhar
103,woman,happy,2016,azhar
89,woman,fear,2016,azhar
109,woman,neutral,2016,azhar
102,woman,happy,2016,azhar
110,woman,neutral,2016,azhar
66,man,neutral,2016,azhar
84,woman,fear,2016,azhar
47,woman,happy,2016,azhar
48,man,happy,2016,azhar
73,woman,neutral,2016,azhar
57,man,angry,2016,azhar
64,man,happy,2016,azhar
72,woman,neutral,2016,azhar
75,man,neutral,2016,azhar
