frame_number,man/woman,emotion,year,movie_name
93,woman,neutral,2016,bollywood_diaries
51,woman,neutral,2016,bollywood_diaries
118,woman,sad,2016,bollywood_diaries
132,woman,fear,2016,bollywood_diaries
94,man,neutral,2016,bollywood_diaries
173,man,angry,2016,bollywood_diaries
131,woman,neutral,2016,bollywood_diaries
96,woman,disgust,2016,bollywood_diaries
88,woman,surprise,2016,bollywood_diaries
154,woman,happy,2016,bollywood_diaries
20,man,sad,2016,bollywood_diaries
170,man,angry,2016,bollywood_diaries
71,woman,sad,2016,bollywood_diaries
163,man,happy,2016,bollywood_diaries
202,man,happy,2016,bollywood_diaries
108,man,sad,2016,bollywood_diaries
156,woman,sad,2016,bollywood_diaries
35,man,sad,2016,bollywood_diaries
36,man,angry,2016,bollywood_diaries
168,man,happy,2016,bollywood_diaries
162,man,happy,2016,bollywood_diaries
52,man,neutral,2016,bollywood_diaries
176,woman,sad,2016,bollywood_diaries
70,woman,sad,2016,bollywood_diaries
90,man,neutral,2016,bollywood_diaries
38,man,happy,2016,bollywood_diaries
26,man,happy,2016,bollywood_diaries
145,man,angry,2016,bollywood_diaries
145,man,happy,2016,bollywood_diaries
145,woman,happy,2016,bollywood_diaries
145,man,angry,2016,bollywood_diaries
49,man,sad,2016,bollywood_diaries
165,man,happy,2016,bollywood_diaries
165,man,happy,2016,bollywood_diaries
205,man,happy,2016,bollywood_diaries
205,man,happy,2016,bollywood_diaries
205,man,happy,2016,bollywood_diaries
135,woman,sad,2016,bollywood_diaries
175,man,sad,2016,bollywood_diaries
190,man,sad,2016,bollywood_diaries
151,man,sad,2016,bollywood_diaries
204,man,sad,2016,bollywood_diaries
83,man,happy,2016,bollywood_diaries
161,woman,happy,2016,bollywood_diaries
199,man,neutral,2016,bollywood_diaries
133,woman,fear,2016,bollywood_diaries
136,woman,sad,2016,bollywood_diaries
87,woman,angry,2016,bollywood_diaries
172,man,angry,2016,bollywood_diaries
24,man,happy,2016,bollywood_diaries
196,man,happy,2016,bollywood_diaries
196,man,sad,2016,bollywood_diaries
166,man,happy,2016,bollywood_diaries
166,man,happy,2016,bollywood_diaries
153,man,sad,2016,bollywood_diaries
113,woman,happy,2016,bollywood_diaries
100,man,happy,2016,bollywood_diaries
148,man,neutral,2016,bollywood_diaries
39,man,happy,2016,bollywood_diaries
127,man,angry,2016,bollywood_diaries
47,man,sad,2016,bollywood_diaries
137,man,angry,2016,bollywood_diaries
48,man,angry,2016,bollywood_diaries
95,man,angry,2016,bollywood_diaries
97,woman,angry,2016,bollywood_diaries
198,man,sad,2016,bollywood_diaries
21,man,sad,2016,bollywood_diaries
114,woman,happy,2016,bollywood_diaries
22,man,sad,2016,bollywood_diaries
73,man,angry,2016,bollywood_diaries
174,man,surprise,2016,bollywood_diaries
124,man,neutral,2016,bollywood_diaries
130,woman,neutral,2016,bollywood_diaries
177,woman,angry,2016,bollywood_diaries
72,man,sad,2016,bollywood_diaries
25,man,happy,2016,bollywood_diaries
