frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2016,brahman_naman
51,woman,neutral,2016,brahman_naman
62,man,neutral,2016,brahman_naman
62,man,fear,2016,brahman_naman
58,woman,happy,2016,brahman_naman
58,man,neutral,2016,brahman_naman
86,man,neutral,2016,brahman_naman
86,man,neutral,2016,brahman_naman
55,man,neutral,2016,brahman_naman
52,man,fear,2016,brahman_naman
90,man,neutral,2016,brahman_naman
90,man,sad,2016,brahman_naman
38,man,sad,2016,brahman_naman
26,man,happy,2016,brahman_naman
26,man,happy,2016,brahman_naman
8,woman,fear,2016,brahman_naman
54,woman,angry,2016,brahman_naman
54,man,happy,2016,brahman_naman
56,man,happy,2016,brahman_naman
56,woman,happy,2016,brahman_naman
56,woman,happy,2016,brahman_naman
7,man,neutral,2016,brahman_naman
82,man,surprise,2016,brahman_naman
41,man,fear,2016,brahman_naman
50,man,neutral,2016,brahman_naman
50,man,sad,2016,brahman_naman
50,man,sad,2016,brahman_naman
9,man,surprise,2016,brahman_naman
9,man,angry,2016,brahman_naman
39,man,disgust,2016,brahman_naman
47,man,sad,2016,brahman_naman
47,man,angry,2016,brahman_naman
48,man,angry,2016,brahman_naman
48,man,sad,2016,brahman_naman
48,man,fear,2016,brahman_naman
6,man,neutral,2016,brahman_naman
79,man,happy,2016,brahman_naman
79,man,sad,2016,brahman_naman
23,man,neutral,2016,brahman_naman
75,man,neutral,2016,brahman_naman
75,man,neutral,2016,brahman_naman
25,man,sad,2016,brahman_naman
25,man,neutral,2016,brahman_naman
31,man,neutral,2016,brahman_naman
