frame_number,man/woman,emotion,year,movie_name
58,man,angry,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
61,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
88,man,angry,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
163,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
55,man,neutral,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
158,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
162,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
106,man,neutral,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
52,man,sad,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
53,man,angry,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
165,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
138,man,sad,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
33,man,angry,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
92,man,sad,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
164,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
161,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
65,man,angry,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
41,man,angry,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
160,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
32,man,sad,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
137,man,angry,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
48,man,sad,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
95,man,surprise,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
159,man,fear,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
105,man,neutral,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
73,man,sad,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
80,man,sad,2016,chaar_sahibzaade:_rise_of_banda_singh_bahadur
