frame_number,man/woman,emotion,year,movie_name
93,man,angry,2016,dangal
93,woman,sad,2016,dangal
51,woman,happy,2016,dangal
94,woman,neutral,2016,dangal
94,man,sad,2016,dangal
88,woman,sad,2016,dangal
88,man,angry,2016,dangal
71,man,neutral,2016,dangal
76,man,angry,2016,dangal
108,woman,sad,2016,dangal
108,woman,surprise,2016,dangal
86,woman,neutral,2016,dangal
155,man,happy,2016,dangal
36,man,fear,2016,dangal
158,woman,angry,2016,dangal
52,woman,happy,2016,dangal
121,man,happy,2016,dangal
121,man,neutral,2016,dangal
121,man,angry,2016,dangal
121,man,sad,2016,dangal
90,woman,neutral,2016,dangal
90,man,sad,2016,dangal
38,man,sad,2016,dangal
53,man,sad,2016,dangal
142,man,sad,2016,dangal
191,woman,fear,2016,dangal
191,man,sad,2016,dangal
42,man,angry,2016,dangal
54,man,neutral,2016,dangal
40,man,sad,2016,dangal
138,man,happy,2016,dangal
138,man,angry,2016,dangal
89,woman,sad,2016,dangal
89,man,angry,2016,dangal
180,man,sad,2016,dangal
116,woman,sad,2016,dangal
116,woman,neutral,2016,dangal
143,woman,angry,2016,dangal
109,man,neutral,2016,dangal
74,man,sad,2016,dangal
92,woman,sad,2016,dangal
92,man,angry,2016,dangal
37,man,sad,2016,dangal
83,woman,sad,2016,dangal
161,woman,sad,2016,dangal
144,man,sad,2016,dangal
181,man,angry,2016,dangal
77,man,sad,2016,dangal
77,woman,sad,2016,dangal
141,woman,sad,2016,dangal
41,man,neutral,2016,dangal
81,woman,neutral,2016,dangal
119,man,neutral,2016,dangal
50,woman,happy,2016,dangal
148,man,neutral,2016,dangal
95,woman,neutral,2016,dangal
95,woman,neutral,2016,dangal
159,man,neutral,2016,dangal
78,woman,angry,2016,dangal
73,woman,angry,2016,dangal
73,man,angry,2016,dangal
112,man,angry,2016,dangal
79,woman,disgust,2016,dangal
75,man,angry,2016,dangal
80,woman,sad,2016,dangal
80,man,angry,2016,dangal
